id;uf;orgao;fim;motivo;acao
001575a8;RS;MUNICIPIO DE PASSO FUNDO;2024-10-22;fora da abrangencia aprovada pelo titular (nacional + GO + Goiania): edital municipal de outra UF, cujo proponente precisa ter sede ou atuacao no municipio;manter no acervo historico, retirar da fila de verificacao ate que o titular amplie a abrangencia
02beaaeb;SP;MUNICIPIO DE INDAIATUBA;2026-09-25;fora da abrangencia aprovada pelo titular (nacional + GO + Goiania): edital municipal de outra UF, cujo proponente precisa ter sede ou atuacao no municipio;manter no acervo historico, retirar da fila de verificacao ate que o titular amplie a abrangencia
09f664bb;PA;SECRETARIA DE ESTADO DE DESENVOLVIMENTO AGROPECUARIO E DA PESCA - SEDA;2025-10-01;fora da abrangencia aprovada pelo titular (nacional + GO + Goiania): edital municipal de outra UF, cujo proponente precisa ter sede ou atuacao no municipio;manter no acervo historico, retirar da fila de verificacao ate que o titular amplie a abrangencia
10e2daff;SP;MUNICIPIO DE PINDAMONHANGABA;2025-08-17;fora da abrangencia aprovada pelo titular (nacional + GO + Goiania): edital municipal de outra UF, cujo proponente precisa ter sede ou atuacao no municipio;manter no acervo historico, retirar da fila de verificacao ate que o titular amplie a abrangencia
1229a56c;SP;PNCP — CONSORCIO INTERMUNICIPAL DO ALTO VALE DO PARANAPANEMA - AMVAPA.;;fora da abrangencia aprovada pelo titular (nacional + GO + Goiania): edital municipal de outra UF, cujo proponente precisa ter sede ou atuacao no municipio;manter no acervo historico, retirar da fila de verificacao ate que o titular amplie a abrangencia
124e7299;DF;SECRETARIA DA MICRO E PEQUENA EMPRESA;2025-11-18;fora da abrangencia aprovada pelo titular (nacional + GO + Goiania): edital municipal de outra UF, cujo proponente precisa ter sede ou atuacao no municipio;manter no acervo historico, retirar da fila de verificacao ate que o titular amplie a abrangencia
20e27764;PR;MUNICIPIO DE PALMAS;2024-10-30;fora da abrangencia aprovada pelo titular (nacional + GO + Goiania): edital municipal de outra UF, cujo proponente precisa ter sede ou atuacao no municipio;manter no acervo historico, retirar da fila de verificacao ate que o titular amplie a abrangencia
25763cc0;PR;MUNICIPIO DE GUAIRA;;fora da abrangencia aprovada pelo titular (nacional + GO + Goiania): edital municipal de outra UF, cujo proponente precisa ter sede ou atuacao no municipio;manter no acervo historico, retirar da fila de verificacao ate que o titular amplie a abrangencia
283dd035;RS;MUNICIPIO DE SAPUCAIA DO SUL;2024-11-14;fora da abrangencia aprovada pelo titular (nacional + GO + Goiania): edital municipal de outra UF, cujo proponente precisa ter sede ou atuacao no municipio;manter no acervo historico, retirar da fila de verificacao ate que o titular amplie a abrangencia
29585d83;SC;FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL - FMAS;2025-06-07;fora da abrangencia aprovada pelo titular (nacional + GO + Goiania): edital municipal de outra UF, cujo proponente precisa ter sede ou atuacao no municipio;manter no acervo historico, retirar da fila de verificacao ate que o titular amplie a abrangencia
2c9fe5e7;CE;MUNICIPIO DE MARACANAU;2026-01-02;fora da abrangencia aprovada pelo titular (nacional + GO + Goiania): edital municipal de outra UF, cujo proponente precisa ter sede ou atuacao no municipio;manter no acervo historico, retirar da fila de verificacao ate que o titular amplie a abrangencia
3bf5ffe3;CE;MUNICIPIO DE IPU;2026-03-03;fora da abrangencia aprovada pelo titular (nacional + GO + Goiania): edital municipal de outra UF, cujo proponente precisa ter sede ou atuacao no municipio;manter no acervo historico, retirar da fila de verificacao ate que o titular amplie a abrangencia
3cc9781a;MG;MUNICIPIO DE IPATINGA;2025-01-06;fora da abrangencia aprovada pelo titular (nacional + GO + Goiania): edital municipal de outra UF, cujo proponente precisa ter sede ou atuacao no municipio;manter no acervo historico, retirar da fila de verificacao ate que o titular amplie a abrangencia
423df80a;CE;MUNICIPIO DE PENTECOSTE;2025-02-06;fora da abrangencia aprovada pelo titular (nacional + GO + Goiania): edital municipal de outra UF, cujo proponente precisa ter sede ou atuacao no municipio;manter no acervo historico, retirar da fila de verificacao ate que o titular amplie a abrangencia
48e4eaa9;PR;MUNICIPIO DE DOIS VIZINHOS;2025-09-08;fora da abrangencia aprovada pelo titular (nacional + GO + Goiania): edital municipal de outra UF, cujo proponente precisa ter sede ou atuacao no municipio;manter no acervo historico, retirar da fila de verificacao ate que o titular amplie a abrangencia
498e3904;BA;MUNICIPIO DE ITACARE;;fora da abrangencia aprovada pelo titular (nacional + GO + Goiania): edital municipal de outra UF, cujo proponente precisa ter sede ou atuacao no municipio;manter no acervo historico, retirar da fila de verificacao ate que o titular amplie a abrangencia
4c15d746;PE;MUNICIPIO DE JUPI;2025-09-11;fora da abrangencia aprovada pelo titular (nacional + GO + Goiania): edital municipal de outra UF, cujo proponente precisa ter sede ou atuacao no municipio;manter no acervo historico, retirar da fila de verificacao ate que o titular amplie a abrangencia
57e0fb4a;CE;MUNICIPIO DE PACAJUS;2026-07-03;fora da abrangencia aprovada pelo titular (nacional + GO + Goiania): edital municipal de outra UF, cujo proponente precisa ter sede ou atuacao no municipio;manter no acervo historico, retirar da fila de verificacao ate que o titular amplie a abrangencia
5b28b15d;PR;MUNICIPIO DE COLOMBO;;fora da abrangencia aprovada pelo titular (nacional + GO + Goiania): edital municipal de outra UF, cujo proponente precisa ter sede ou atuacao no municipio;manter no acervo historico, retirar da fila de verificacao ate que o titular amplie a abrangencia
630ea3c4;SC;FUNDACAO MUNICIPAL CULTURAL DE PENHA;2024-12-03;fora da abrangencia aprovada pelo titular (nacional + GO + Goiania): edital municipal de outra UF, cujo proponente precisa ter sede ou atuacao no municipio;manter no acervo historico, retirar da fila de verificacao ate que o titular amplie a abrangencia
631d0ee5;SC;MUNICIPIO DE ITAJAI;2025-09-19;fora da abrangencia aprovada pelo titular (nacional + GO + Goiania): edital municipal de outra UF, cujo proponente precisa ter sede ou atuacao no municipio;manter no acervo historico, retirar da fila de verificacao ate que o titular amplie a abrangencia
63ac8d93;BA;MUNICIPIO DE ITACARE;2023-05-29;fora da abrangencia aprovada pelo titular (nacional + GO + Goiania): edital municipal de outra UF, cujo proponente precisa ter sede ou atuacao no municipio;manter no acervo historico, retirar da fila de verificacao ate que o titular amplie a abrangencia
7042e5df;SC;MUNICIPIO DE BALNEARIO DE PICARRAS;2024-11-12;fora da abrangencia aprovada pelo titular (nacional + GO + Goiania): edital municipal de outra UF, cujo proponente precisa ter sede ou atuacao no municipio;manter no acervo historico, retirar da fila de verificacao ate que o titular amplie a abrangencia
7895a614;SC;MUNICIPIO DE TIJUCAS;2024-12-31;fora da abrangencia aprovada pelo titular (nacional + GO + Goiania): edital municipal de outra UF, cujo proponente precisa ter sede ou atuacao no municipio;manter no acervo historico, retirar da fila de verificacao ate que o titular amplie a abrangencia
7dad98d2;SP;MUNICIPIO DE PINDAMONHANGABA;2025-06-22;fora da abrangencia aprovada pelo titular (nacional + GO + Goiania): edital municipal de outra UF, cujo proponente precisa ter sede ou atuacao no municipio;manter no acervo historico, retirar da fila de verificacao ate que o titular amplie a abrangencia
7fdf39fd;PB;FUNDO MUNICIPAL DE SAUDE DE CAMPINA GRANDE;2024-12-31;fora da abrangencia aprovada pelo titular (nacional + GO + Goiania): edital municipal de outra UF, cujo proponente precisa ter sede ou atuacao no municipio;manter no acervo historico, retirar da fila de verificacao ate que o titular amplie a abrangencia
83b1ac3d;RS;MUNICIPIO DE FARROUPILHA;2025-04-10;fora da abrangencia aprovada pelo titular (nacional + GO + Goiania): edital municipal de outra UF, cujo proponente precisa ter sede ou atuacao no municipio;manter no acervo historico, retirar da fila de verificacao ate que o titular amplie a abrangencia
86986fa7;PB;MUNICIPIO DE ALCANTIL;2026-04-06;fora da abrangencia aprovada pelo titular (nacional + GO + Goiania): edital municipal de outra UF, cujo proponente precisa ter sede ou atuacao no municipio;manter no acervo historico, retirar da fila de verificacao ate que o titular amplie a abrangencia
8a087eb4;CE;MUNICIPIO DE PEDRA BRANCA;2024-04-08;fora da abrangencia aprovada pelo titular (nacional + GO + Goiania): edital municipal de outra UF, cujo proponente precisa ter sede ou atuacao no municipio;manter no acervo historico, retirar da fila de verificacao ate que o titular amplie a abrangencia
8ac78e3f;CE;MUNICIPIO DE CASCAVEL;2024-05-10;fora da abrangencia aprovada pelo titular (nacional + GO + Goiania): edital municipal de outra UF, cujo proponente precisa ter sede ou atuacao no municipio;manter no acervo historico, retirar da fila de verificacao ate que o titular amplie a abrangencia
8d68b63a;RS;MUNICIPIO DE CANOAS;2027-12-31;fora da abrangencia aprovada pelo titular (nacional + GO + Goiania): edital municipal de outra UF, cujo proponente precisa ter sede ou atuacao no municipio;manter no acervo historico, retirar da fila de verificacao ate que o titular amplie a abrangencia
8de3468c;DF;SECRETARIA DA MICRO E PEQUENA EMPRESA;2026-09-15;fora da abrangencia aprovada pelo titular (nacional + GO + Goiania): edital municipal de outra UF, cujo proponente precisa ter sede ou atuacao no municipio;manter no acervo historico, retirar da fila de verificacao ate que o titular amplie a abrangencia
8ed7377b;MG;MUNICIPIO DE MONTES CLAROS;2026-11-09;fora da abrangencia aprovada pelo titular (nacional + GO + Goiania): edital municipal de outra UF, cujo proponente precisa ter sede ou atuacao no municipio;manter no acervo historico, retirar da fila de verificacao ate que o titular amplie a abrangencia
8f2b3454;BA;MUNICIPIO DE ANDORINHA;2026-07-16;fora da abrangencia aprovada pelo titular (nacional + GO + Goiania): edital municipal de outra UF, cujo proponente precisa ter sede ou atuacao no municipio;manter no acervo historico, retirar da fila de verificacao ate que o titular amplie a abrangencia
91fb791d;SP;PNCP — MUNICIPIO DE JACAREI;;fora da abrangencia aprovada pelo titular (nacional + GO + Goiania): edital municipal de outra UF, cujo proponente precisa ter sede ou atuacao no municipio;manter no acervo historico, retirar da fila de verificacao ate que o titular amplie a abrangencia
92c21c1e;CE;MUNICIPIO DE TAMBORIL;2025-12-31;fora da abrangencia aprovada pelo titular (nacional + GO + Goiania): edital municipal de outra UF, cujo proponente precisa ter sede ou atuacao no municipio;manter no acervo historico, retirar da fila de verificacao ate que o titular amplie a abrangencia
947fe159;MG;MUNICIPIO DE CONFINS;2024-11-28;fora da abrangencia aprovada pelo titular (nacional + GO + Goiania): edital municipal de outra UF, cujo proponente precisa ter sede ou atuacao no municipio;manter no acervo historico, retirar da fila de verificacao ate que o titular amplie a abrangencia
98adb3ec;SP;MUNICIPIO DE RIBEIRAO PRETO;2025-10-29;fora da abrangencia aprovada pelo titular (nacional + GO + Goiania): edital municipal de outra UF, cujo proponente precisa ter sede ou atuacao no municipio;manter no acervo historico, retirar da fila de verificacao ate que o titular amplie a abrangencia
98ea4aea;BA;CONSELHO REGIONAL DOS TECNICOS INDUSTRIAIS DA BAHIA - CRT-BA;2025-04-11;fora da abrangencia aprovada pelo titular (nacional + GO + Goiania): edital municipal de outra UF, cujo proponente precisa ter sede ou atuacao no municipio;manter no acervo historico, retirar da fila de verificacao ate que o titular amplie a abrangencia
99cffd84;AL;ESTADO DE ALAGOAS;2024-08-12;fora da abrangencia aprovada pelo titular (nacional + GO + Goiania): edital municipal de outra UF, cujo proponente precisa ter sede ou atuacao no municipio;manter no acervo historico, retirar da fila de verificacao ate que o titular amplie a abrangencia
a44774f9;BA;ESTADO DA BAHIA;2024-12-31;fora da abrangencia aprovada pelo titular (nacional + GO + Goiania): edital municipal de outra UF, cujo proponente precisa ter sede ou atuacao no municipio;manter no acervo historico, retirar da fila de verificacao ate que o titular amplie a abrangencia
a500abb8;SP;MUNICIPIO DE BAURU;2026-03-09;fora da abrangencia aprovada pelo titular (nacional + GO + Goiania): edital municipal de outra UF, cujo proponente precisa ter sede ou atuacao no municipio;manter no acervo historico, retirar da fila de verificacao ate que o titular amplie a abrangencia
a83a7653;BA;MUNICIPIO DE BARREIRAS;2025-05-28;fora da abrangencia aprovada pelo titular (nacional + GO + Goiania): edital municipal de outra UF, cujo proponente precisa ter sede ou atuacao no municipio;manter no acervo historico, retirar da fila de verificacao ate que o titular amplie a abrangencia
a8d4a669;RN;MUNICIPIO DE NISIA FLORESTA;2024-06-28;fora da abrangencia aprovada pelo titular (nacional + GO + Goiania): edital municipal de outra UF, cujo proponente precisa ter sede ou atuacao no municipio;manter no acervo historico, retirar da fila de verificacao ate que o titular amplie a abrangencia
ab865aa3;AL;PNCP — TRIBUNAL DE JUSTICA DO ESTADO DE ALAGOAS;;fora da abrangencia aprovada pelo titular (nacional + GO + Goiania): edital municipal de outra UF, cujo proponente precisa ter sede ou atuacao no municipio;manter no acervo historico, retirar da fila de verificacao ate que o titular amplie a abrangencia
b02a8e79;CE;MUNICIPIO DE TAMBORIL;2024-05-21;fora da abrangencia aprovada pelo titular (nacional + GO + Goiania): edital municipal de outra UF, cujo proponente precisa ter sede ou atuacao no municipio;manter no acervo historico, retirar da fila de verificacao ate que o titular amplie a abrangencia
b30e68d1;PR;MUNICIPIO DE ENTRE RIOS DO OESTE;2024-04-11;fora da abrangencia aprovada pelo titular (nacional + GO + Goiania): edital municipal de outra UF, cujo proponente precisa ter sede ou atuacao no municipio;manter no acervo historico, retirar da fila de verificacao ate que o titular amplie a abrangencia
b618e2a1;PA;SECRETARIA DE ESTADO DE ADMINISTRACAO PENITENCIARIA - SEAP;2024-05-28;fora da abrangencia aprovada pelo titular (nacional + GO + Goiania): edital municipal de outra UF, cujo proponente precisa ter sede ou atuacao no municipio;manter no acervo historico, retirar da fila de verificacao ate que o titular amplie a abrangencia
b858a9eb;SP;MUNICIPIO DE PERUIBE;2029-11-05;fora da abrangencia aprovada pelo titular (nacional + GO + Goiania): edital municipal de outra UF, cujo proponente precisa ter sede ou atuacao no municipio;manter no acervo historico, retirar da fila de verificacao ate que o titular amplie a abrangencia
ba3fdfb0;SP;MUNICIPIO DE SAO CARLOS;2026-08-12;fora da abrangencia aprovada pelo titular (nacional + GO + Goiania): edital municipal de outra UF, cujo proponente precisa ter sede ou atuacao no municipio;manter no acervo historico, retirar da fila de verificacao ate que o titular amplie a abrangencia
bf76e910;MG;MUNICIPIO DE RIBEIRAO DAS NEVES;2024-10-16;fora da abrangencia aprovada pelo titular (nacional + GO + Goiania): edital municipal de outra UF, cujo proponente precisa ter sede ou atuacao no municipio;manter no acervo historico, retirar da fila de verificacao ate que o titular amplie a abrangencia
c017e9d7;RN;MUNICIPIO DE ACARI;2025-12-31;fora da abrangencia aprovada pelo titular (nacional + GO + Goiania): edital municipal de outra UF, cujo proponente precisa ter sede ou atuacao no municipio;manter no acervo historico, retirar da fila de verificacao ate que o titular amplie a abrangencia
c3bd65eb;PR;MUNICIPIO DE KALORE;2024-05-20;fora da abrangencia aprovada pelo titular (nacional + GO + Goiania): edital municipal de outra UF, cujo proponente precisa ter sede ou atuacao no municipio;manter no acervo historico, retirar da fila de verificacao ate que o titular amplie a abrangencia
c4425625;PR;DEPARTAMENTO DE ESTRADAS DE RODAGEM DO ESTADO DO PARANA;2026-09-22;fora da abrangencia aprovada pelo titular (nacional + GO + Goiania): edital municipal de outra UF, cujo proponente precisa ter sede ou atuacao no municipio;manter no acervo historico, retirar da fila de verificacao ate que o titular amplie a abrangencia
cf6049e4;SC;MUNICIPIO DE XANXERE;2024-12-13;fora da abrangencia aprovada pelo titular (nacional + GO + Goiania): edital municipal de outra UF, cujo proponente precisa ter sede ou atuacao no municipio;manter no acervo historico, retirar da fila de verificacao ate que o titular amplie a abrangencia
d231d9c6;RS;MUNICIPIO DE GRAVATAI;2026-06-01;fora da abrangencia aprovada pelo titular (nacional + GO + Goiania): edital municipal de outra UF, cujo proponente precisa ter sede ou atuacao no municipio;manter no acervo historico, retirar da fila de verificacao ate que o titular amplie a abrangencia
e06d3756;SP;MUNICIPIO DE AMPARO;2024-07-10;fora da abrangencia aprovada pelo titular (nacional + GO + Goiania): edital municipal de outra UF, cujo proponente precisa ter sede ou atuacao no municipio;manter no acervo historico, retirar da fila de verificacao ate que o titular amplie a abrangencia
e8985451;PR;MUNICIPIO DE ENTRE RIOS DO OESTE;2024-04-08;fora da abrangencia aprovada pelo titular (nacional + GO + Goiania): edital municipal de outra UF, cujo proponente precisa ter sede ou atuacao no municipio;manter no acervo historico, retirar da fila de verificacao ate que o titular amplie a abrangencia
ea7eed21;CE;MUNICIPIO DE SAO BENEDITO;2024-06-21;fora da abrangencia aprovada pelo titular (nacional + GO + Goiania): edital municipal de outra UF, cujo proponente precisa ter sede ou atuacao no municipio;manter no acervo historico, retirar da fila de verificacao ate que o titular amplie a abrangencia
ebc55c85;SP;PNCP — CONSORCIO INTERMUNICIPAL DO ALTO VALE DO PARANAPANEMA - AMVAPA.;;fora da abrangencia aprovada pelo titular (nacional + GO + Goiania): edital municipal de outra UF, cujo proponente precisa ter sede ou atuacao no municipio;manter no acervo historico, retirar da fila de verificacao ate que o titular amplie a abrangencia
ee4548fc;RO;SUP. EST. DE LICITACAO;2025-12-05;fora da abrangencia aprovada pelo titular (nacional + GO + Goiania): edital municipal de outra UF, cujo proponente precisa ter sede ou atuacao no municipio;manter no acervo historico, retirar da fila de verificacao ate que o titular amplie a abrangencia
ef328b28;PR;MUNICIPIO DE FLORAI;2026-04-28;fora da abrangencia aprovada pelo titular (nacional + GO + Goiania): edital municipal de outra UF, cujo proponente precisa ter sede ou atuacao no municipio;manter no acervo historico, retirar da fila de verificacao ate que o titular amplie a abrangencia
f5f21c7b;PR;UNIVERSIDADE ESTADUAL DO CENTRO OESTE;2026-12-10;fora da abrangencia aprovada pelo titular (nacional + GO + Goiania): edital municipal de outra UF, cujo proponente precisa ter sede ou atuacao no municipio;manter no acervo historico, retirar da fila de verificacao ate que o titular amplie a abrangencia
f9f05ff8;PR;MUNICIPIO DE COLOMBO;2025-07-01;fora da abrangencia aprovada pelo titular (nacional + GO + Goiania): edital municipal de outra UF, cujo proponente precisa ter sede ou atuacao no municipio;manter no acervo historico, retirar da fila de verificacao ate que o titular amplie a abrangencia
fcb79d2f;MT;MUNICIPIO DE NOVA GUARITA;2024-12-06;fora da abrangencia aprovada pelo titular (nacional + GO + Goiania): edital municipal de outra UF, cujo proponente precisa ter sede ou atuacao no municipio;manter no acervo historico, retirar da fila de verificacao ate que o titular amplie a abrangencia
1f2ded3a5a3a7ac6defb;AC;PNCP — ESTADO DO ACRE;;fora da abrangencia aprovada pelo titular (nacional + GO + Goiania): edital municipal de outra UF, cujo proponente precisa ter sede ou atuacao no municipio;manter no acervo historico, retirar da fila de verificacao ate que o titular amplie a abrangencia
b9aa532fe4f7c49694e6;AL;PNCP — MUNICIPIO DE RIO LARGO;;fora da abrangencia aprovada pelo titular (nacional + GO + Goiania): edital municipal de outra UF, cujo proponente precisa ter sede ou atuacao no municipio;manter no acervo historico, retirar da fila de verificacao ate que o titular amplie a abrangencia
d21ce12871ba8c1ff04a;AL;PNCP — MUNICIPIO DE PALMEIRA DOS INDIOS;;fora da abrangencia aprovada pelo titular (nacional + GO + Goiania): edital municipal de outra UF, cujo proponente precisa ter sede ou atuacao no municipio;manter no acervo historico, retirar da fila de verificacao ate que o titular amplie a abrangencia
b905c766bef65ae17766;AM;PNCP — PROCURADORIA GERAL DE JUSTICA DO ESTADO DO AMAZONAS;;fora da abrangencia aprovada pelo titular (nacional + GO + Goiania): edital municipal de outra UF, cujo proponente precisa ter sede ou atuacao no municipio;manter no acervo historico, retirar da fila de verificacao ate que o titular amplie a abrangencia
c0a95ca4b6d893e95489;AM;PNCP — FUNDO MUNICIPAL DE CULTURA;;fora da abrangencia aprovada pelo titular (nacional + GO + Goiania): edital municipal de outra UF, cujo proponente precisa ter sede ou atuacao no municipio;manter no acervo historico, retirar da fila de verificacao ate que o titular amplie a abrangencia
d13f7c2c4eaa5d17130b;AM;PNCP — FUNDO MUNICIPAL DE CULTURA;;fora da abrangencia aprovada pelo titular (nacional + GO + Goiania): edital municipal de outra UF, cujo proponente precisa ter sede ou atuacao no municipio;manter no acervo historico, retirar da fila de verificacao ate que o titular amplie a abrangencia
fa8d9e9bfc9ccac034e2;AM;PNCP — FUNDO MUNICIPAL DE CULTURA;;fora da abrangencia aprovada pelo titular (nacional + GO + Goiania): edital municipal de outra UF, cujo proponente precisa ter sede ou atuacao no municipio;manter no acervo historico, retirar da fila de verificacao ate que o titular amplie a abrangencia
01efd9c4cbacbc782d98;BA;PNCP — MUNICIPIO DE ALAGOINHAS;;fora da abrangencia aprovada pelo titular (nacional + GO + Goiania): edital municipal de outra UF, cujo proponente precisa ter sede ou atuacao no municipio;manter no acervo historico, retirar da fila de verificacao ate que o titular amplie a abrangencia
0ce9e2dee2377128a078;BA;PNCP — MUNICIPIO DE DIAS D'AVILA;;fora da abrangencia aprovada pelo titular (nacional + GO + Goiania): edital municipal de outra UF, cujo proponente precisa ter sede ou atuacao no municipio;manter no acervo historico, retirar da fila de verificacao ate que o titular amplie a abrangencia
3cda5dffd549be2cd079;BA;PNCP — MUNICIPIO DE DIAS D'AVILA;;fora da abrangencia aprovada pelo titular (nacional + GO + Goiania): edital municipal de outra UF, cujo proponente precisa ter sede ou atuacao no municipio;manter no acervo historico, retirar da fila de verificacao ate que o titular amplie a abrangencia
4ff67a8be58771740f50;BA;PNCP — MUNICIPIO DE ITACARE;;fora da abrangencia aprovada pelo titular (nacional + GO + Goiania): edital municipal de outra UF, cujo proponente precisa ter sede ou atuacao no municipio;manter no acervo historico, retirar da fila de verificacao ate que o titular amplie a abrangencia
c8f4c982076d0dd9668f;BA;PNCP — MUNICIPIO DE DIAS D'AVILA;;fora da abrangencia aprovada pelo titular (nacional + GO + Goiania): edital municipal de outra UF, cujo proponente precisa ter sede ou atuacao no municipio;manter no acervo historico, retirar da fila de verificacao ate que o titular amplie a abrangencia
ef09d597d6e5d87b28bd;BA;PNCP — MUNICIPIO DE ALAGOINHAS;;fora da abrangencia aprovada pelo titular (nacional + GO + Goiania): edital municipal de outra UF, cujo proponente precisa ter sede ou atuacao no municipio;manter no acervo historico, retirar da fila de verificacao ate que o titular amplie a abrangencia
f379aced3bed9913a944;BA;PNCP — MUNICIPIO DE IRECE;;fora da abrangencia aprovada pelo titular (nacional + GO + Goiania): edital municipal de outra UF, cujo proponente precisa ter sede ou atuacao no municipio;manter no acervo historico, retirar da fila de verificacao ate que o titular amplie a abrangencia
7a97a0c5ff1fb737f735;BA;PNCP — MUNICIPIO DE GUARATINGA;;fora da abrangencia aprovada pelo titular (nacional + GO + Goiania): edital municipal de outra UF, cujo proponente precisa ter sede ou atuacao no municipio;manter no acervo historico, retirar da fila de verificacao ate que o titular amplie a abrangencia
4ea6a81cf88eb115f13e;BA;PNCP — MUNICIPIO DE IRAQUARA;;fora da abrangencia aprovada pelo titular (nacional + GO + Goiania): edital municipal de outra UF, cujo proponente precisa ter sede ou atuacao no municipio;manter no acervo historico, retirar da fila de verificacao ate que o titular amplie a abrangencia
0b6a8f1809203eb73377;CE;PNCP — MUNICIPIO DE IBIAPINA;;fora da abrangencia aprovada pelo titular (nacional + GO + Goiania): edital municipal de outra UF, cujo proponente precisa ter sede ou atuacao no municipio;manter no acervo historico, retirar da fila de verificacao ate que o titular amplie a abrangencia
31b8a937a989d196a8b7;CE;PNCP — MUNICIPIO DE NOVA RUSSAS;;fora da abrangencia aprovada pelo titular (nacional + GO + Goiania): edital municipal de outra UF, cujo proponente precisa ter sede ou atuacao no municipio;manter no acervo historico, retirar da fila de verificacao ate que o titular amplie a abrangencia
caa19170eb41534c9368;CE;PNCP — MUNICIPIO DE OCARA;;fora da abrangencia aprovada pelo titular (nacional + GO + Goiania): edital municipal de outra UF, cujo proponente precisa ter sede ou atuacao no municipio;manter no acervo historico, retirar da fila de verificacao ate que o titular amplie a abrangencia
d19c6f466e3d3c7c32d4;CE;PNCP — MUNICIPIO DE ACOPIARA;;fora da abrangencia aprovada pelo titular (nacional + GO + Goiania): edital municipal de outra UF, cujo proponente precisa ter sede ou atuacao no municipio;manter no acervo historico, retirar da fila de verificacao ate que o titular amplie a abrangencia
dc73999357ed4e37d07f;CE;PNCP — MUNICIPIO DE SENADOR POMPEU;;fora da abrangencia aprovada pelo titular (nacional + GO + Goiania): edital municipal de outra UF, cujo proponente precisa ter sede ou atuacao no municipio;manter no acervo historico, retirar da fila de verificacao ate que o titular amplie a abrangencia
248f790790781eb96dce;CE;PNCP — MUNICIPIO DE HORIZONTE;;fora da abrangencia aprovada pelo titular (nacional + GO + Goiania): edital municipal de outra UF, cujo proponente precisa ter sede ou atuacao no municipio;manter no acervo historico, retirar da fila de verificacao ate que o titular amplie a abrangencia
