fim;veredito;uf;municipio;edital;objeto;pagina_oficial;validacao;proximo_passo;id
2026-09-25;aprovado;SP;Indaiatuba;126;Seleção de propostas para a celebração de parceria entre o Município de Indaiatuba, por intermédio da Secretaria Municipal de Serviços Urbanos e Meio Ambiente e as Organizações da Sociedade Civil (OSC) de proteção animal, devidamente constituídas e legalizadas no Município, para a execução de ações, projetos e atividades voltados à proteção e ao bem-estar animal, com recursos provenientes do Fundo Municipal de Proteção aos Animais - FMPA, mediante prévia aprovação do Conselho Municipal de Proteção e Defesa dos Animais - COMPDA, nos termos da Lei Municipal nº 6.790, de 21 de setembro de 2017.;https://pncp.gov.br/app/editais/44733608000109/2026/765;fechada;;02beaaeb
2026-10-19;reprovado;SP;São Paulo;168;Chamamento público para prospecção do mercado imobiliário em Caieiras/SP, visando à locação de imóvel comercial situado em área urbana, para uso institucional, que atenda às necessidades de localização e instalação prescritas no edital.;https://pncp.gov.br/app/editais/00509968000148/2026/2916;triagem;;64713239
2026-10-23;reprovado;SP;São Paulo;1;CREDENCIAMENTO DE ENTIDADES PRIVADAS SEM FINS LUCRATIVOS COM FINALIDADE ESTATUTÁRIA COMPATÍVEL COM SAÚDE E PROTEÇÃO ANIMAL para a prestação de serviços de intensificação suplementar de vacinação de cães e gatos contra a raiva no município de São Paulo;https://pncp.gov.br/app/editais/13864377000130/2027/2;triagem;;1bccd659
2026-11-09;atencao;MG;Montes Claros;900018 | Processo 614;CHAMAMENTO PUBLICO PARA CREDENCIAMENTO DE INSTITUICOES PRIVADAS COM OU SEM FINS LUCRATIVOS ESPECIALIZADA NA PRESTACAO DE SERVICO DE ACOLHIMENTO DE LONGA PERMANENCIA PARA PESSOAS IDOSAS DO SEXO FEMININO E MASCULINO COM GRAU DE DEPENDENCIA I II E III CONFORME RESOLUCAO DE DIRETORIA COLEGIADA RDC N 502 DE 27 DE MAIO DE 2021 RESIDENTES NO MUNICIPIO DE MONTES CLAROS MG.;https://pncp.gov.br/app/editais/22678874000135/2024/589;fechada;;8ed7377b
2026-12-04;aprovado;;;BNDES Periferias em Rede - 6o ciclo;Destina-se a instituicoes que visem apoiar subprojetos realizados por organizacoes de pequeno e medio porte, de base e atuacao em periferias e comunidades urbanas, nos temas de empreendedorismo, verde e economia do cuidado. Podem se inscrever pessoas juridicas de direito privado sem fins lucrativos.;https://www.bndes.gov.br/periferias;triagem;;09590060
2026-12-04;aprovado;;;BNDES Periferias em Rede - 6o ciclo;Destina-se a instituicoes que visem apoiar subprojetos realizados por organizacoes de pequeno e medio porte, de base e atuacao em periferias e comunidades urbanas, nos temas de empreendedorismo, verde e economia do cuidado. Podem se inscrever pessoas juridicas de direito privado sem fins lucrativos.;https://www.bndes.gov.br/periferias;triagem;;32d5ced6
2026-12-04;aprovado;;;BNDES Periferias em Rede - 6o ciclo;Destina-se a instituicoes que visem apoiar subprojetos realizados por organizacoes de pequeno e medio porte, de base e atuacao em periferias e comunidades urbanas, nos temas de empreendedorismo, verde e economia do cuidado. Podem se inscrever pessoas juridicas de direito privado sem fins lucrativos.;https://www.bndes.gov.br/periferias;triagem;;546b9617
2026-12-10;atencao;PR;Guarapuava;1;Credenciamento de associações, cooperativas, entidades sem fins lucrativos e empresas para a coleta seletiva solidária, transporte, triagem e destinação ambientalmente adequada do papel branco proveniente dos resíduos gerados nos Municípios de Guarapuava e Irati da UNICENTRO;https://pncp.gov.br/app/editais/77902914000172/2026/1;fechada;;f5f21c7b
2026-12-31;reprovado;AM;Parintins;CD002;CREDENCIAMENTO PARA A CAPTAÇÃO DE COTAS DE PATROCÍNIO POR PESSOAS FÍSICAS E/OU JURÍDICAS DE DIREITO PRIVADO, COM OU SEM FINS LUCRATIVOS, PARA APOIO NO CUSTEIO DOS EVENTOS PREVISTOS NO CALENDÁRIO DE EVENTOS DO MUNICÍPIO;https://pncp.gov.br/app/editais/04329736000169/2026/8;triagem;;36d3f5a9
2026-12-31;reprovado;BA;Monte Santo;CREDENCIAMENTO Nº 001;Chamamento Público para o credenciamento de pessoa jurídica para prestação de serviços na área de saúde para atender as necessidades do Município de Monte Santo - Bahia, em caráter complementar ao Sistema Único de Saúde.;https://pncp.gov.br/app/editais/13698766000133/2025/1;triagem;;901bbebe
2026-12-31;reprovado;GO;Ipameri;44479;CHAMAMENTO PÚBLICO DESTINADO AO CREDENCIAMENTO DE ESTABELECIMENTOS DE SAÚDE E PRESTADORES DE SERVIÇOS DE SAÚDE, PESSOAS FÍSICAS OU JURÍDICAS, PARA A PRESTAÇÃO COMPLEMENTAR DE SERVIÇOS PÚBLICOS DE SAÚDE À POPULAÇÃO, MEDIANTE UTILIZAÇÃO DE ESTRUTURA E RECURSOS PRÓPRIOS, INCLUSIVE COM ATENDIMENTO DOMICILIAR, VISANDO ATENDER ÀS NECESSIDADES DO FUNDO MUNICIPAL DE SAÚDE DE IPAMERI ? GO.;https://pncp.gov.br/app/editais/07777639000127/2026/58;triagem;;2dd2d9b5
2026-12-31;reprovado;MG;Diamantina;001;Chamamento Público para Credenciamento de artistas locais e regionais para apresentações nos eventos realizados e apoiados pela Prefeitura Municipal de Diamantina.;https://pncp.gov.br/app/editais/17754136000190/2024/4;triagem;;a0a95e14
2027-03-19;reprovado;TO;Palmas;002/CR/SESTO;CREDENCIAMENTO DE INSTITUIÇÕES PRIVADAS (COM OU SEM FINS LUCRATIVOS), DE FORMA COMPLEMENTAR AO SISTEMA ÚNICO DE SAÚDE NO ESTADO DO TOCANTINS, INTERESSADAS EM OFERTAR OS SERVIÇOS LABORATORIAIS PARA REALIZAÇÃO DE EXAMES DE ANÁLISES CLÍNICAS CONSTANTES NO SISTEMA DE GERENCIAMENTO DA TABELA DE PROCEDIMENTOS, MEDICAMENTOS E OPM DO SUS - TABELA SIGTAP VIGENTE, INCLUINDO: SERVIÇOS DE COLETA, ANÁLISE E DISTRIBUIÇÃO DE RESULTADOS DE EXAMES, DESTINADO AOS PACIENTES AMBULATORIAIS DOS MUNICÍPIOS REFERENCIADOS, DE ACORDO COM A PROGRAMAÇÃO PACTUADA E INTEGRADA - PPI, QUE ESTÃO SOB GESTÃO DO ESTADO DO TOCANTINS.;https://pncp.gov.br/app/editais/25053117000164/2026/51;triagem;;a806c0a5
2027-03-20;reprovado;BA;Entre Rios;CH005;CREDENCIAMENTO de pessoas jurídicas de direito privado, com ou sem fins lucrativos, assegurada a preferência às entidades filantrópicas e às sem fins lucrativos, nos termos do art. 199, §1º, da Constituição Federal e do art. 25 da Lei nº 8.080/1990, para a prestação de serviços na atenção especializada de TRATAMENTO ESCLEROSANTE NÃO ESTÉTICO DE VARIZES, em nível ambulatorial, aos usuários do Sistema Único de Saúde – SUS, pela integração à Rede Regionalizada e Hierarquizada, voltados a atender o Município de Entre Rios/BA e os municípios pactuados via Programação Pactuada e Integrada (PPI), conforme condições, especificações e quantitativos previstos no Termo de Referência e demais anexos deste Edital;https://pncp.gov.br/app/editais/14126981000122/2026/13;triagem;;5881fdb0
2027-03-23;reprovado;SC;Guarujá do Sul;PRI 12;Credenciamento de empresas especializadas na administração, gerenciamento, emissão, distribuição e fornecimento de cartões de vale-alimentação, na modalidade eletrônico/magnético ou com chip, dotados de senha pessoal, destinados à realização de recargas mensais em favor dos servidores vinculados à Prefeitura Municipal de Guarujá do Sul/SC, abrangendo o Poder Executivo, o Poder Legislativo, bem como as unidades gestoras do Município, do Fundo Municipal de Saúde (FMS) e do Fundo Municipal de Assistência Social (FMAS).;https://pncp.gov.br/app/editais/83027045000187/2026/225;triagem;;3f099e8b
2027-06-12;reprovado;MG;Grão Mogol;50;CREDENCIAMENTO DE PESSOAS JURÍDICAS PARA APRESENTAÇÃO DE SHOWS MUSICAIS(BANDAS, DUPLAS OU CANTORES) DE RENOME REGIONAL OU RENOME LOCAL (TECLADO E VOZ, FORRÓ, PISEIRO E DEMAIS), PARA ATENDER OS EVENTOS MUNICIPAIS NOS DISTRITOS E COMUNIDADES RURAIS DO MUNICÍPIO DE GRÃO MOGOL/MG, COMO PREVISTO NO DECRETO MUNICIPAL 337/2024, NOS MOLDES PREVISTOS NA LEI 14.133/2021 E SUAS ALTERAÇÕES.;https://pncp.gov.br/app/editais/20716627000150/2026/71;triagem;;d150fd93
2027-09-02;reprovado;MG;Claro dos Poções;10;CREDENCIAMENTO POR CHAMAMENTO PÚBLICO PARA CONTRATAÇÃO DE EMPRESAS ESPECIALIZADAS PARA FORNECIMENTO DE REFEIÇÕES ALMOÇO E JANTAR NA CIDADE DE MONTES CLAROS, PARA ATENDER A DEMANDA DAS SECRETÁRIAS DA PREFEITURA MUNICIPAL DE CLARO DOS POÇÕESMG;https://pncp.gov.br/app/editais/21498274000122/2026/24;triagem;;da48d834
2027-09-02;reprovado;RS;Caseiros;6;CHAMAMENTO PÚBLICO, COM FINS DE CREDENCIAMENTO DE PESSOAS JURÍDICAS PARA PRESTAÇÃO DE SERVIÇOS DE RETIRADA, REINSTALAÇÃO E MANUTENÇÃO DE BOMBAS SUBMERSAR, CONSERTO DE QUADROS DE COMANDO DOS POÇOS ARTESIANOS DAS COMUNIDADES DO INTERIOR DO MUNICÍPIO DE CASEIROS/RS.;https://pncp.gov.br/app/editais/90483058000126/2026/121;triagem;;bbae7c52
2027-09-03;reprovado;RS;Ipê;5 | Processo 2275;Chamamento publico para o credenciamento de empresas especializadas para o fornecimento de refeicoes aos servidores municipais em deslocamento pelas diversas secretarias do Municipio de Ipe RS;https://pncp.gov.br/app/editais/90544511000167/2026/2265;triagem;;3949793b
2027-09-04;reprovado;BA;Poções;032/2026;CHAMAMENTO PÚBLICO PARA FINS DE CREDENCIAMENTO DE PROFISSIONAIS (PESSOA FÍSICA) PARA ATUAÇÃO NOS PROGRAMAS DE ATENÇÃO INTEGRAL À SAÚDE DA PESSOA IDOSA, TRANSPORTE SANITÁRIO PARA APOIO AO DESLOCAMENTO DE PACIENTES EM TRATAMENTO RADIOTERÁPICO E EM TERAPIA RENAL SUBSTITUTIVA, NA MODALIDADE HEMODIÁLISE (TRS) E INCENTIVO À SAÚDE DA POPULAÇÃO QUILOMBOLA, VINCULADOS A RECURSOS FEDERAIS DO MINISTÉRIO DA SAÚDE;https://pncp.gov.br/app/editais/14242200000165/2026/162;triagem;;0811d2f6
2027-09-10;reprovado;MG;Patrocínio;32;CREDENCIAMENTO DE PESSOAS JURÍDICAS ESPECIALIZADAS NA PRESTAÇÃO DE SERVIÇOS MÉDICOS PARA EXECUÇÃO DE AÇÕES E SERVIÇOS DE ATENÇÃO PRIMÁRIA À SAÚDE NO ÂMBITO DO SISTEMA ÚNICO DE SAÚDE - SUS, DESTINADOS AO ATENDIMENTO DAS DEMANDAS DAS EQUIPES DA ESTRATÉGIA SAÚDE DA FAMÍLIA - ESF, NAS UNIDADES BÁSICAS DE SAÚDE E PARA ATENDIMENTO DAS DEMANDAS DO CENTRO DE ATENÇÃO PSICOSSOCIAL ÁLCOOL E DROGAS (CAPS AD), DO CENTRO DE ATENÇÃO PSICOSSOCIAL II (CAPS II) E DO SERVIÇO DE ATENÇÃO DOMICILIAR (SAD), EM CONFORMIDADE COM AS CONDIÇÕES, QUANTITATIVOS ESTIMADOS E ESPECIFICAÇÕES ESTABELECIDAS NO TERMO DE REFERÊNCIA, PARA ATENDER AO MUNICÍPIO DE PATROCÍNIO/MG.;https://pncp.gov.br/app/editais/18468033000126/2026/247;triagem;;aa4de17a
2027-12-06;reprovado;PE;Águas Belas;002/2025-FMS;CREDENCIAMENTO DE PESSOAS JURÍDICAS, PREFERENCIALMENTE SEM FINS LUCRATIVOS, ESPECIALIZADAS NA PRESTAÇÃO DE SERVIÇOS DE SAÚDE, DE FORMA COMPLEMENTAR, COM O FIM DE REALIZAR PROMOÇÃO, PREVENÇÃO, DIAGNÓSTICO E TRATAMENTO AOS USUÁRIOS DO SUS, OFERTADOS NAS UNIDADES DE SAÚDE DO MUNICÍPIO DE ÁGUAS BELAS/PE, de acordo com as condições estabelecidas neste Edital e seus Anexos.;https://pncp.gov.br/app/editais/11286341000191/2025/54;triagem;;838f5d8b
2027-12-31;atencao;RS;Canoas;88;Credenciamento de Agremiações Carnavalescas, Agremiações de Samba com personalidade jurídica, sem fins lucrativos, com razão social carnaval, sediadas em canoas, para participação em eventos promovidos no Município;https://pncp.gov.br/app/editais/88577416000118/2026/44;fechada;;8d68b63a
2028-04-02;reprovado;SP;Ilhabela;CHP006;Chamamento público para credenciamento de produtores agrícolas inscritos como Microempreendedor Individual (MEI) ou Microempresas (ME) interessados na comercialização de seus produtos por meio da permissão de uso e exploração comercial, a título oneroso, das vagas para instalação de bancas comerciais no Mercado Municipal situado à R. Benedito dos Santos Sampaio, 418 - Barra Velha, Ilhabela/SP, como meio de fomento municipal embrionário à agricultura familiar e agricultura urbana existente no município de Ilhabela.;https://pncp.gov.br/app/editais/46482865000132/2026/79;triagem;;dab1b880
2029-07-02;reprovado;MG;Montes Claros;900009 | Processo 233;REALIZACAO DE CHAMAMENTO PUBLICO VISANDO O CREDENCIAMENTO DE INSTITUICOES FINANCEIRAS INTERESSADAS EM PROCEDER A CONCESSAO DE EMPRESTIMO PESSOAL E OU PLANO DE SEGURO DE VIDA COM CONSIGNACAO EM FOLHA DE PAGAMENTO PARA OS SERVIDORES E EMPREGADOS PUBICOS MUNICIPAIS ATIVOS APOSENTADOS E PENSIONISTAS DA ADMINISTRACAO DIRETA E INDIRETA DO PODER EXECUTIVO DE MONTES CLAROS MG NOS TERMOS DO DECRETO N .3.746 DE 17 DE SETEMBRO DE 2018 SEM QUAISQUER ONUS OU ENCARGOS PARA A ADMINISTRACAO MUNICIPAL.;https://pncp.gov.br/app/editais/22678874000135/2024/330;triagem;;2fc48b30
2029-11-05;atencao;SP;Peruíbe;149;CREDENCIAMENTO DE INSTITUIÇÕES PRIVADAS, COM OU SEM FINS LUCRATIVOS, INSTITUIÇÕES DE LONGA PERMANÊNCIA PARA IDOSOS, INTERESSADAS EM PRESTAR SERVIÇOS DE FORMA COMPLEMENTAR AO SISTEMA ÚNICO DE ASSISTÊNCIA SOCIAL (SUAS), REFERENTE AO ACOLHIMENTO INSTITUCIONAL DE PESSOAS IDOSAS A PARTIR DE 60 ANOS;https://pncp.gov.br/app/editais/46578514000120/2024/269;fechada;;b858a9eb
2029-12-13;reprovado;SC;Guaramirim;PRI 41;CREDENCIAMENTO DE ENTIDADES FILANTRÓPICAS E/OU PRIVADAS, PRESTADORAS DE SERVIÇOS DE SAÚDE, ESPECIALIZADAS NA REALIZAÇÃO DE EXAMES COM FINALIDADE DIAGNÓSTICA EM ANATOMIA PATOLÓGICA GERAL E DE EXAMES CITOPATOLÓGICOS PARA ATENDER OS USUÁRIOS DO SISTEMA ÚNICO DE SAÚDE (SUS) RESIDENTES NO MUNICÍPIO DE GUARAMIRIM-SC.;https://pncp.gov.br/app/editais/11293409000160/2024/47;triagem;;bd289783
2030-05-22;reprovado;MG;MG/Januária;;CHAMAMENTO PUBLICO PARA CREDENCIAMENTO DE PRESTADORES DE SERVICOS ESPECIALIZADOS EM PROCEDIMENTOS CIRURGICOS DE OFTALMOLOGIA PARA ATENDER AOS PACIENTES QUE PERTENCEM A MICRORREGIAO COMPOSTA PELOS MUNICIPIOS DE JANUARIA ITACARAMBI CONEGO MARINHO BONITO DE MINAS E PEDRAS DE MARIA DA CRUZ;https://www.januaria.mg.gov.br/portal/editais/5;fechada;;2e00fc3f
2030-08-01;reprovado;RS;Três Coroas;3 | Processo 104;Credenciamento de empresas privadas ou Organizacoes da Sociedade Civil interessadas em patrocinar os eventos acoes e cursos de capacitacao turistica da Secretaria Municipal de Industria Comercio Turismo e Cultura e Secretaria Municipal de Educacao e Desporto.;https://pncp.gov.br/app/editais/88199971000153/2025/118;triagem;;d822aeee
2030-09-03;reprovado;RS;Rio Grande;[4482] 15;Credenciamento para qualificação de pessoas jurídicas de direito privado, sem fins lucrativos, como ORGANIZAÇÕES SOCIAIS DE SAÚDE, para habilitação para eventual e futura operacionalização de gestão compartilhada de ações e serviços de SAÚDE no âmbito do Município do Rio Grande/RS.;https://pncp.gov.br/app/editais/88566872000162/2025/352;triagem;;bcf0a7d9
2031-08-14;reprovado;SC;Rio Negrinho;PRI 104;CONTRATAÇÃO DA EMPRESA CREDENCIADA GEORGE PETERSON DA SILVA CLÍNICA DE FISIOTERAPIA LTDA PARA PRESTAR SERVIÇOS DE FISIOTERAPIA, CONFORME ESPECIFICAÇÕES E EXIGÊNCIAS DO EDITAL DE CREDENCIAMENTO/CHAMAMENTO PÚBLICO Nº 083/2026 DO FUNDO MUNICIPAL DE SAÚDE DE RIO NEGRINHO-SC.;https://pncp.gov.br/app/editais/10377912000130/2026/19;triagem;;4f72eb32
2031-08-14;reprovado;SC;Rio Negrinho;PRI 105;CONTRATAÇÃO DA EMPRESA CREDENCIADA FISIOCLIRE - CLÍNICA DE FISIOTERAPIA E REABILITAÇÃO LTDA PARA PRESTAR SERVIÇOS DE FISIOTERAPIA, CONFORME ESPECIFICAÇÕES E EXIGÊNCIAS DO EDITAL DE CREDENCIAMENTO/CHAMAMENTO PÚBLICO Nº 083/2026 DO FUNDO MUNICIPAL DE SAÚDE DE RIO NEGRINHO-SC.;https://pncp.gov.br/app/editais/10377912000130/2026/20;triagem;;66a5eb4b
2033-12-20;reprovado;PR;Curitiba;1;Chamamento público nº 001/2023 para Credenciamento de agricultores familiares, cooperativas e associações interessados em fornecer produtos agroalimentares perecíveis e não perecíveis oriundos da Agricultura Familiar para atendimento ao Progr;https://pncp.gov.br/app/editais/76417005001743/2023/7;triagem;;38e808fd
2034-05-07;reprovado;PR;Toledo;63 | Processo 96;O presente Chamamento Publico tem por objeto o Credenciamento de Pessoas Juridicas da Area Medica para a prestacao de servicos de consultas e exames nos consultorios particulares clinicas e nos ambulatorios do CISCOPAR conforme suas necessidades abrangendo as seguintes areas especialidades medica;https://pncp.gov.br/app/editais/73449977000164/2024/79;triagem;;3615c060
2034-05-07;reprovado;PR;Toledo;61 | Processo 88;O presente Chamamento Publico tem por objeto o Credenciamento de Pessoas Juridicas da Area Medica para a prestacao de servicos de consultas e exames nos consultorios particulares clinicas e nos ambulatorios do CISCOPAR conforme suas necessidades abrangendo as seguintes areas especialidades medica;https://pncp.gov.br/app/editais/73449977000164/2024/77;triagem;;56bb1d32
2034-05-09;reprovado;PR;Toledo;64 | Processo 99;O presente Chamamento Publico tem por objeto o Credenciamento de Pessoas Juridicas da Area Medica para a prestacao de servicos de consultas e exames nos consultorios particulares clinicas e nos ambulatorios do CISCOPAR conforme suas necessidades abrangendo as seguintes areas especialidades medica;https://pncp.gov.br/app/editais/73449977000164/2024/80;triagem;;05f2e484
2034-06-07;reprovado;PR;Toledo;79 | Processo 115;O presente Chamamento Publico tem por objeto o Credenciamento de Pessoas Juridicas da Area Medica para a prestacao de servicos de consultas e exames nos consultorios particulares clinicas e nos ambulatorios do CISCOPAR conforme suas necessidades abrangendo as seguintes areas especialidades medica;https://pncp.gov.br/app/editais/73449977000164/2024/95;triagem;;0723ecd7
2034-06-08;reprovado;PR;Toledo;80 | Processo 117;O presente Chamamento Publico tem por objeto o Credenciamento de Pessoas Juridicas da Area Medica para a prestacao de servicos de consultas e exames nos consultorios particulares clinicas e nos ambulatorios do CISCOPAR conforme suas necessidades abrangendo as seguintes areas especialidades medica;https://pncp.gov.br/app/editais/73449977000164/2024/97;triagem;;ab5110f1
2034-07-03;reprovado;PR;Toledo;90 | Processo 134;O presente Chamamento Publico tem por objeto o Credenciamento de Pessoas Juridicas da Area Medica para a prestacao de servicos de consultas e exames nos consultorios particulares clinicas e nos ambulatorios do CISCOPAR conforme suas necessidades abrangendo as seguintes areas especialidades medica;https://pncp.gov.br/app/editais/73449977000164/2024/110;triagem;;1b065722
2034-08-02;reprovado;PR;Toledo;109 | Processo 156;O presente Chamamento Publico tem por objeto o Credenciamento de Pessoas Juridicas da Area Medica para a prestacao de servicos de consultas e exames nos consultorios particulares clinicas e nos ambulatorios do CISCOPAR conforme suas necessidades abrangendo as seguintes areas especialidades medica;https://pncp.gov.br/app/editais/73449977000164/2024/134;triagem;;344ffd42
2034-08-02;reprovado;PR;Toledo;107 | Processo 153;O presente Chamamento Publico tem por objeto o credenciamento de pessoas juridicas para a PRESTACAO DE SERVICOS AO CONSORCIO INTERMUNICIPAL DE SAUDE COSTA OESTE DO PARANA CISCOPAR DE CONFECCAO DE OCULOS DE GRAU COM ARMACAO E LENTES ESFERICAS CILINDRICAS BIFOCAIS ULTEX E PROGRESSIVAS MULTIFOCAL.;https://pncp.gov.br/app/editais/73449977000164/2024/132;triagem;;b7b47b11
2034-08-02;reprovado;PR;Toledo;108 | Processo 154;O presente Chamamento Publico tem por objeto o Credenciamento de Pessoas Juridicas da Area Medica para a prestacao de servicos de consultas e exames nos consultorios particulares clinicas e nos ambulatorios do CISCOPAR conforme suas necessidades abrangendo as seguintes areas especialidades medica;https://pncp.gov.br/app/editais/73449977000164/2024/133;triagem;;c1f3964b
2034-08-07;reprovado;PR;Toledo;110 | Processo 149;O presente Chamamento Publico tem por objeto o Credenciamento de Pessoas Juridicas da Area Medica para a prestacao de servicos de consultas e exames nos consultorios particulares clinicas e nos ambulatorios do CISCOPAR conforme suas necessidades abrangendo as seguintes areas especialidades medica;https://pncp.gov.br/app/editais/73449977000164/2024/135;triagem;;bf6c52ae
2034-12-29;reprovado;RS;Panambi;CPC 64;CHAMAMENTO PÚBLICO PARA CREDENCIAMENTO DE MÉDICOS ESPECIALISTAS E EXAMES ESPECIALIZADOS;https://pncp.gov.br/app/editais/88702089000189/2024/79;triagem;;9f7cf0d6
2099-11-09;reprovado;SC;Joinville;448/2023;Credenciamento de órgãos e entidades da Administração Pública direta, autárquica ou fundacional, das esferas federal, estadual e municipal, de instituições filantrópicas reconhecidas de utilidade pública, de instituições sem fins lucrativos e de caráter assistencial e de organizações da sociedade civil de interesse público, para recebimento em doação de bens móveis classificados como inservíveis pela Secretaria de Educação.;https://pncp.gov.br/app/editais/83169623000110/2023/439;triagem;;66dc73f5
