prioridade;situacao;fim;dias_restantes;veredito;uf;municipio;orgao;titulo;faltam;pagina_oficial;motivo_sem_pagina_oficial;familia_de_rota;exige_navegador;id
3;sem_prazo_confirmado;;;aprovado;SP;SP/Piraju;PNCP — CONSORCIO INTERMUNICIPAL DO ALTO VALE DO PARANAPANEMA - AMVAPA.;SELEÇÃO DE ORGANIZAÇÃO DA SOCIEDADE CIVIL – OSC, SEM FINS LUCRATIVOS, REGULARMENTE CONSTITUÍDA, QUALIFICADA E INTERESSADA EM CELEBRAR PARCERIA COM O CONSÓRCIO INTERMUNICIPAL DO ALTO VALE DO PARANAPANEMA – AMVAPA, PARA EXECUÇÃO DE SERVIÇO DE ACOLHIMENTO INSTITUCIONAL NA MODALIDADE DE RESIDÊNCIA;prazo de inscrição, página oficial;;plataforma_privada_de_licitacao: não serve como fonte de prazo, objeto, pagina_oficial. relocalizar o registro pela busca oficial do PNCP (familia pncp_busca) e usar a pagina do PNCP como pagina ofici;plataforma_privada_de_licitacao;nao;1229a56cafe058007b03
3;sem_prazo_confirmado;;;aprovado;PR;PR/Campo Mourão;PNCP — MUNICIPIO DE CAMPO MOURAO;CHAMAMENTO PÚBLICO VISANDO A FORMALIZAÇÃO DE PARCERIA COM ORGANIZAÇÃO DA SOCIEDADE CIVIL PARA ATRAVÉS DE TERMO DE FOMENTO PARA PROJETOS E PROGRAMAS DE APRENDIZAGEM E QUALIFICAÇÃO PROFISSIONAL PARA ADOLESCENTES ENTRE 14 E 17 ANOS E 11 MESES, ESPECIALMENTE OS QUE ESTÃO EM CUMPRIMENTO DE MEDIDAS SOCIOE;prazo de inscrição, página oficial;;portal de divulgação, não é a página oficial do edital: serve para descobrir o número do processo e o nome do órgão, e a partir daí a fonte é o site do órgão;pncp_api_consulta;sim;244e3090efac17f5c82b
3;sem_prazo_confirmado;;;aprovado;RS;RS/Passo Fundo;PNCP — MUNICIPIO DE PASSO FUNDO;Seleção de Organizações da Sociedade Civil - OSC, sem fins lucrativos, para celebrar Termo de Colaboração, voltadas ao atendimento de pessoas idosas, com idade igual ou superior a 60 (sessenta) anos de idade, em situação de vulnerabilidade social.FUMUI;prazo de inscrição, página oficial;;portal de divulgação, não é a página oficial do edital: serve para descobrir o número do processo e o nome do órgão, e a partir daí a fonte é o site do órgão;pncp_api_consulta;sim;279fd5164589758e182c
3;sem_prazo_confirmado;;;aprovado;RS;RS/Passo Fundo;PNCP — MUNICIPIO DE PASSO FUNDO;Seleção de projetos apresentados por Organizações da Sociedade Civil - OSCs, sem fins lucrativos, para celebrar Termo de Fomento, voltadas ao atendimento de crianças e adolescentes em situação de vulnerabilidade social.;prazo de inscrição, página oficial;;portal de divulgação, não é a página oficial do edital: serve para descobrir o número do processo e o nome do órgão, e a partir daí a fonte é o site do órgão;pncp_api_consulta;sim;2e9711152378cd8aacd9
3;sem_prazo_confirmado;;;aprovado;BA;BA/Dias d'Ávila;PNCP — MUNICIPIO DE DIAS D'AVILA;A seleção e o fomento de 01 (um) projeto cultural coletivo de dança, voltado à criação, circulação e apresentação de espetáculo(s) de dança de rua, a serem realizados em 10 (dez) bairros do município, ou seja , 10 (dez) apresentações, em espaços públicos, de forma gratuita e aberta à comunidade.1 O;prazo de inscrição, página oficial;;portal de divulgação, não é a página oficial do edital: serve para descobrir o número do processo e o nome do órgão, e a partir daí a fonte é o site do órgão;pncp_api_consulta;sim;3cda5dffd549be2cd079
3;sem_prazo_confirmado;;;aprovado;PR;PR/Nova Esperança;PNCP — MUNICIPIO DE NOVA ESPERANCA;Chamamento Público tem por objeto a seleção de propostas/plano de trabalho das organizações da sociedade civil interessadas na celebração de Termo de Colaboração, com a finalidade da presente contratação é atender demanda apresentada pela Política de Assistência Social e apoio as Organizações da Soc;prazo de inscrição, página oficial;;portal de divulgação, não é a página oficial do edital: serve para descobrir o número do processo e o nome do órgão, e a partir daí a fonte é o site do órgão;pncp_api_consulta;sim;3dd2e9ce702aae7659a5
3;sem_prazo_confirmado;;;aprovado;CE;CE/Senador Pompeu;PNCP — MUNICIPIO DE SENADOR POMPEU;SELEÇÃO DE ORGANIZAÇÕES DA SOCIEDADE CIVIL (OSC) INTERESSADAS EM CELEBRAR TERMO DE FOMENTO QUE TENHA POR OBJETO A EXECUÇÃO DE AÇÕES VOLTADAS À PROMOÇÃO, PROTEÇÃO E DEFESA DOS DIREITOS DE CRIANÇAS E ADOLESCENTES, QUE ESTEJAM EM CONSONÂNCIA COM A POLÍTICA DA INFÂNCIA E JUVENTUDE EXPLICITADA NO ECA E N;prazo de inscrição, página oficial;;portal de divulgação, não é a página oficial do edital: serve para descobrir o número do processo e o nome do órgão, e a partir daí a fonte é o site do órgão;pncp_api_consulta;sim;43ec6258b8523a140c08
3;sem_prazo_confirmado;;;aprovado;BA;Itacaré;MUNICIPIO DE ITACARE;000010;prazo de inscrição, página oficial;;portal de divulgação, não é a página oficial do edital: serve para descobrir o número do processo e o nome do órgão, e a partir daí a fonte é o site do órgão;pncp_api_consulta;sim;498e3904
3;sem_prazo_confirmado;;;aprovado;RJ;RJ/Arraial do Cabo;PNCP — MUNICIPIO DE ARRAIAL DO CABO;O presente Chamamento Público tem por objeto a seleção de Organização da Sociedade Civil (OSC) para celebração de Termo de Colaboração com o Município de Arraial do Cabo, por intermédio do Fundo Municipal de Educação, visando à execução do Programa EDUCA+ ARRAIAL.;prazo de inscrição, página oficial;;portal de divulgação, não é a página oficial do edital: serve para descobrir o número do processo e o nome do órgão, e a partir daí a fonte é o site do órgão;pncp_api_consulta;sim;4e5bcf840dc7ce3ea6e2
3;sem_prazo_confirmado;;;aprovado;RS;RS/Carazinho;PNCP — MUNICIPIO DE CARAZINHO;Seleção projetos de Organizações da Sociedade Civil - OSC para celebração de Termo de Fomento com Organização da Sociedade Civil (OSC), para a consecução de finalidades de interesse público e recíproco, mediante a execução de programas e projetos voltados ao atendimento de crianças e adolescentes a;prazo de inscrição, página oficial;;portal de divulgação, não é a página oficial do edital: serve para descobrir o número do processo e o nome do órgão, e a partir daí a fonte é o site do órgão;pncp_api_consulta;sim;52715deee843fac8f817
3;sem_prazo_confirmado;;;aprovado;PI;PI/Floriano;PNCP — MUNICIPIO DE FLORIANO;CHAMAMENTO PÚBLICO PARA PACTUAÇÃO DE TERMO DE COLABORAÇÃO ENTRE A SECRETARIA MUNICIPAL DE TURISMO E DESENVOLVIMENTO ECONÔMICO – SEMTUDEC E ORGANIZAÇÃO DA SOCIEDADE CIVIL, PARA APRESENTAÇÃO E EXECUÇÃO DO PROJETO “NATAL DE FLORIANO 2024” EM PARCERIA COM A SECRETARIA MUNICIPAL DE TURISMO E DESENVOLVIM;prazo de inscrição, página oficial;;portal de divulgação, não é a página oficial do edital: serve para descobrir o número do processo e o nome do órgão, e a partir daí a fonte é o site do órgão;pncp_api_consulta;sim;52aae9ce41ad52f83809
3;sem_prazo_confirmado;;;aprovado;PR;Colombo;MUNICIPIO DE COLOMBO;Credenciamento no CHAMAMENTO PÚBLICO Nº. 002/2025, referente ao Credenciamento de Entidades sem fins lucrativos do Município de Colombo, para doação de bens móveis declarados inservíveis pela Prefeitura Municipal de Colombo.;prazo de inscrição, página oficial;;portal de divulgação, não é a página oficial do edital: serve para descobrir o número do processo e o nome do órgão, e a partir daí a fonte é o site do órgão;pncp_api_consulta;sim;5b28b15d43e434599db1
3;sem_prazo_confirmado;;;aprovado;RS;RS/Gravataí;PNCP — MUNICIPIO DE GRAVATAI;[Portal de Compras Públicas] - Chamamento Público destinado à seleção de Organizações da Sociedade Civil (OSCs), interessada em celebrar Termo de Colaboração que tenha por objeto a execução de Serviço de Convivência e Fortalecimento de Vínculos, para atendimento de crianças e adolescentes de 6 (seis;prazo de inscrição, página oficial;;plataforma_privada_de_licitacao: não serve como fonte de prazo, objeto, pagina_oficial. relocalizar o registro pela busca oficial do PNCP (familia pncp_busca) e usar a pagina do PNCP como pagina ofici;plataforma_privada_de_licitacao;nao;6110c2223fa6ce0f8e0e
3;sem_prazo_confirmado;;;aprovado;PR;PR/Campo Mourão;PNCP — FUNDACAO DE ESPORTES DE CAMPO MOURAO;CHAMAMENTO PÚBLICO, OBJETIVANDO FIRMAR PARCERIA POR MEIO DE TERMO DE COLABORAÇÃO COM ORGANIZAÇÃO DA SOCIEDADE CIVIL (PESSOA JURÍDICA SEM FINS LUCRATIVOS, COM SEDE NO MUNICÍPIO DE CAMPO MOURÃO), PARA APLICAÇÃO DOS RECURSOS NA EXECUÇÃO DE PROJETOS ESPORTIVOS PELO PROGRAMA CAMPO MOURÃO MAIS ATLETA COM;prazo de inscrição, página oficial;;portal de divulgação, não é a página oficial do edital: serve para descobrir o número do processo e o nome do órgão, e a partir daí a fonte é o site do órgão;pncp_api_consulta;sim;72c1599531991b1ac933
3;sem_prazo_confirmado;;;aprovado;GO;GO/Formosa;PNCP — MUNICIPIO DE FORMOSA;CELEBRAÇÃO DE TERMO DE COLABORAÇÃO COM ORGANIZAÇÃO DA SOCIEDADE CIVIL (OSC) PARA EXECUÇÃO DE PROJETO DE INVESTIMENTO DESTINADO À CONSTRUÇÃO, AMPLIAÇÃO, MODERNIZAÇÃO E ADEQUAÇÃO DE INFRAESTRUTURA PREDIAL DE APOIO ÀS FORÇAS DE SEGURANÇA;prazo de inscrição, página oficial;;portal de divulgação, não é a página oficial do edital: serve para descobrir o número do processo e o nome do órgão, e a partir daí a fonte é o site do órgão;pncp_api_consulta;sim;77be3a1f9404f5b292f0
3;sem_prazo_confirmado;;;aprovado;RS;RS/Osório;;O presente Chamamento Público se destina a selecionar Organizações da Sociedade Civil (OSC) sem fins lucrativos, para firmar parceria através de Termo de Colaboração, em regime de mútua colaboração com a Administração pública, para a execução de projeto e/ou atividade pelo prazo de 12 (doze) meses,;prazo de inscrição, página oficial;;portal de divulgação, não é a página oficial do edital: serve para descobrir o número do processo e o nome do órgão, e a partir daí a fonte é o site do órgão;pncp_api_consulta;sim;81a444690ae9d6a7fc56
3;sem_prazo_confirmado;;;aprovado;PR;PR/Guaíra;PNCP — MUNICIPIO DE GUAIRA;Chamamento Público para firmar Termo de Colaboração com Organização da Sociedade Civil, sem fins lucrativos, que execute Serviço de Educação Básica e de Atendimento Educacionais para educandos com Deficiência Intelectual, Múltipla Deficiências e Transtornos Globais do Desenvolvimento, no município d;prazo de inscrição, página oficial;;portal de divulgação, não é a página oficial do edital: serve para descobrir o número do processo e o nome do órgão, e a partir daí a fonte é o site do órgão;pncp_api_consulta;sim;81a7f79723fe650d4d68
3;sem_prazo_confirmado;;;aprovado;CE;CE/Iguatu;;Seleção de Organização da Sociedade Civil – OSC para execução, em regime de colaboração com o Município, de serviços educacionais destinados ao atendimento de crianças da Educação Infantil, no município de Iguatu/Ce.;prazo de inscrição, página oficial;;portal de divulgação, não é a página oficial do edital: serve para descobrir o número do processo e o nome do órgão, e a partir daí a fonte é o site do órgão;pncp_api_consulta;sim;830c27ebf0d91b0f6f39
3;sem_prazo_confirmado;;;aprovado;RS;RS/Bento Gonçalves;PNCP — MUNICIPIO DE BENTO GONCALVES;ABERTURA DE EDITAL DE CHAMAMENTO PÚBLICO LEI 13.019/2014, PARA CELEBRAÇÃO DE PARCERIA COM ORGANIZAÇÕES DA SOCIEDADE CIVIL PARA A EXECUÇÃO DE PROJETOS DE INCENTIVO AO ESPORTE. PROCESSO Nº 6667/2024.;prazo de inscrição, página oficial;;portal de divulgação, não é a página oficial do edital: serve para descobrir o número do processo e o nome do órgão, e a partir daí a fonte é o site do órgão;pncp_api_consulta;sim;898d930ce5601d1616e3
3;sem_prazo_confirmado;;;aprovado;RO;RO/Jaru;PNCP — MUNICIPIO DE JARU;CHAMAMENTO PÚBLICO NOS TERMOS DA LEI FEDERAL Nº 13.019/2014 (MROSC) E DO DECRETO FEDERAL Nº 8.726/2016 (APLICADO SUBSIDIARIAMENTE CONFORME DECRETO FEDERAL Nº 11.948/2024), VISANDO À SELEÇÃO DE ASSOCIAÇÃO RURAL PRIVADA, SEM FINS LUCRATIVOS, REPRESENTATIVA DE AGRICULTORES FAMILIARES, PARA A CELEBRAÇÃO;prazo de inscrição, página oficial;;portal de divulgação, não é a página oficial do edital: serve para descobrir o número do processo e o nome do órgão, e a partir daí a fonte é o site do órgão;pncp_api_consulta;sim;8c6a2a0e25ff8b32702d
3;sem_prazo_confirmado;;;aprovado;SP;SP/Jacareí;PNCP — MUNICIPIO DE JACAREI;;prazo de inscrição, página oficial;;nenhum endereço capturado;;nao;91fb791d
3;sem_prazo_confirmado;;;aprovado;RS;RS/Carazinho;PNCP — MUNICIPIO DE CARAZINHO;Celebração de termo de colaboração, com Organização da Sociedade Civil (OSC), em regime de mútua cooperação com a Administração Pública, para a consecução de finalidades de interesse público e recíproco, mediante a execução de atividade para o atendimento de matrículas na educação infantil oferecida;prazo de inscrição, página oficial;;portal de divulgação, não é a página oficial do edital: serve para descobrir o número do processo e o nome do órgão, e a partir daí a fonte é o site do órgão;pncp_api_consulta;sim;996497acfed0b3158670
3;sem_prazo_confirmado;;;aprovado;CE;CE/Senador Sá;PNCP — MUNICIPIO DE SENADOR SA;CHAMAMENTO PÚBLICO DESTINADO A SELECIONAR ORGANIZAÇÃO DA SOCIEDADE CIVIL SEM FINS LUCRATIVOS PARA FIRMAR PARCERIA, EM REGIME DE MÚTUA COLABORAÇÃO, QUE TENHA POR OBJETO O DESENVOLVIMENTO DE AÇÕES DE FINALIDADE DE INTERESSE PÚBLICO E RECÍPROCO COM FULCRO AO APOIO À GESTÃO ADMINISTRATIVA E ASSISTENCIAL;prazo de inscrição, página oficial;;plataforma_privada_de_licitacao: não serve como fonte de prazo, objeto, pagina_oficial. relocalizar o registro pela busca oficial do PNCP (familia pncp_busca) e usar a pagina do PNCP como pagina ofici;plataforma_privada_de_licitacao;nao;a2e23f84f60e8ace4d9e
3;sem_prazo_confirmado;;;aprovado;AL;AL/Maceió;PNCP — TRIBUNAL DE JUSTICA DO ESTADO DE ALAGOAS;[LICITANET] - Chamamento público na forma de credenciamento de associações e/ou cooperativas de trabalhadores catadores para assinatura de TERMO DE COMPROMISSO objetivando o recolhimento e processamento de resíduo reciclável e reutilizável produzido nas dependências do Poder Judiciário de Alagoas na;prazo de inscrição, página oficial;;plataforma_privada_de_licitacao: não serve como fonte de prazo, objeto, pagina_oficial. relocalizar o registro pela busca oficial do PNCP (familia pncp_busca) e usar a pagina do PNCP como pagina ofici;plataforma_privada_de_licitacao;nao;ab865aa353056669100e
3;sem_prazo_confirmado;;;aprovado;RS;RS/Gravataí;PNCP — MUNICIPIO DE GRAVATAI;[Portal de Compras Públicas] - Chamamento Público destinado à seleção de Organizações da Sociedade Civil (OSCs), interessada em celebrar Termo de Colaboração que tenha por objeto a execução de Serviço de Convivência e Fortalecimento de Vínculos, para atendimento de adolescentes, jovens e Adultos de;prazo de inscrição, página oficial;;plataforma_privada_de_licitacao: não serve como fonte de prazo, objeto, pagina_oficial. relocalizar o registro pela busca oficial do PNCP (familia pncp_busca) e usar a pagina do PNCP como pagina ofici;plataforma_privada_de_licitacao;nao;b755253db7c120e34580
3;sem_prazo_confirmado;;;aprovado;CE;CE/Ocara;PNCP — MUNICIPIO DE OCARA;CHAMADA PÚBLICA PARA SELEÇÃO DE ORGANIZAÇÃO DA SOCIEDADE CIVIL – OSC, INTERESSADAS EM CELEBRAR TERMO DE FOMENTO QUE TENHA POR OBJETO A IMPLANTAÇÃO DE PROGRAMA DE ATENÇÃO ÀS SINGULARIDADES NEUROLÓGICAS E AO ESPECTRO AUTISTA (TEA) JUNTO A SECRETARIA MUNICIPAL DE SAÚDE DE OCARA/CE;prazo de inscrição, página oficial;;portal de divulgação, não é a página oficial do edital: serve para descobrir o número do processo e o nome do órgão, e a partir daí a fonte é o site do órgão;pncp_api_consulta;sim;caa19170eb41534c9368
3;sem_prazo_confirmado;;;aprovado;RS;RS/Passo Fundo;PNCP — MUNICIPIO DE PASSO FUNDO;Selecionar projetos apresentados por Organizações da Sociedade Civil, sem fins lucrativos, para a celebração de parceria, com formalização de Termo de Colaboração e transferência de recursos financeiros, destinados à realização de feiras de negócios.;prazo de inscrição, página oficial;;portal de divulgação, não é a página oficial do edital: serve para descobrir o número do processo e o nome do órgão, e a partir daí a fonte é o site do órgão;pncp_api_consulta;sim;cb51e96b5bf56bd13578
3;sem_prazo_confirmado;;;aprovado;MG;MG/Oratórios;PNCP — MUNICIPIO DE ORATORIOS;ORGANIZAÇÕES DA SOCIEDADE CIVIL SEM FINS LUCRATIVOS PARA EVENTUAL CELEBRAÇÃO DE TERMO DE COLABORAÇÃO OU TERMO DE FOMENTO.;prazo de inscrição, página oficial;;portal de divulgação, não é a página oficial do edital: serve para descobrir o número do processo e o nome do órgão, e a partir daí a fonte é o site do órgão;pncp_api_consulta;sim;ccc296e9e783767e56b2
3;sem_prazo_confirmado;;;aprovado;SE;SE/Itabaianinha;PNCP — MUNICIPIO DE ITABAIANINHA;Formalização de parceria, mediante Termo de Colaboração, com Organização da Sociedade Civil (OSC), visando à execução complementar e colaborativa de atividades voltadas ao fortalecimento da política de educação inclusiva, à ampliação do sucesso escolar e à qualificação das práticas pedagógicas na re;prazo de inscrição, página oficial;;portal de divulgação, não é a página oficial do edital: serve para descobrir o número do processo e o nome do órgão, e a partir daí a fonte é o site do órgão;pncp_api_consulta;sim;ced063d82912665631c2
3;sem_prazo_confirmado;;;aprovado;PR;PR/Guaíra;;Chamamento Público para firmar Termo de Colaboração com Organização da Sociedade Civil, sem fins lucrativos, que execute Serviço de Educação Básica e de Atendimento Educacionais para educandos com Deficiência Intelectual, Múltipla Deficiências e Transtornos Globais do Desenvolvimento, no município d;prazo de inscrição, página oficial;;portal de divulgação, não é a página oficial do edital: serve para descobrir o número do processo e o nome do órgão, e a partir daí a fonte é o site do órgão;pncp_api_consulta;sim;d54cfaf8f5934750f912
3;sem_prazo_confirmado;;;aprovado;CE;CE/Senador Pompeu;PNCP — MUNICIPIO DE SENADOR POMPEU;SELEÇÃO DE PROPOSTAS PARA A CELEBRAÇÃO DE PARCERIA COM A SECRETARIA MUNICIPAL DE SAÚDE, POR MEIO DA FORMALIZAÇÃO DE TERMO DE COLABORAÇÃO, PARA A CONSECUÇÃO DE FINALIDADE DE INTERESSE PÚBLICO E RECÍPROCO QUE ENVOLVE A TRANSFERÊNCIA DE RECURSOS FINANCEIROS À ORGANIZAÇÃO DA SOCIEDADE CIVIL (OSC);prazo de inscrição, página oficial;;portal de divulgação, não é a página oficial do edital: serve para descobrir o número do processo e o nome do órgão, e a partir daí a fonte é o site do órgão;pncp_api_consulta;sim;dc73999357ed4e37d07f
3;sem_prazo_confirmado;;;aprovado;BR;;Secretaria Especial da Receita Federal do Brasil — Superintendência da 1ª Região;Doação de mercadorias apreendidas — Receita Federal — 2027;prazo de inscrição;https://www.gov.br/receitafederal/pt-br/assuntos/orientacao-tributaria/leilao/pdm/doacoes;;;nao;doacao-receita-federal-2027
3;sem_prazo_confirmado;;;aprovado;RS;RS/Rio Grande;PNCP — MUNICIPIO DO RIO GRANDE;Seleção de proposta para celebração de Termo de Colaboração com Organização de Sociedade Civil (OSC), para serviço de intérpretes de libras para atendimento às pessoas surdas usuárias da Língua Brasileira de Sinais (Libras) nos equipamentos públicos do município do Rio Grande, através da Central de;prazo de inscrição, página oficial;;portal de divulgação, não é a página oficial do edital: serve para descobrir o número do processo e o nome do órgão, e a partir daí a fonte é o site do órgão;pncp_api_consulta;sim;e2393262c2615ecd35f0
3;sem_prazo_confirmado;;;aprovado;RS;RS/Sapiranga;PNCP — MUNICIPIO DE SAPIRANGA;Seleção de pessoa jurídica de direito privado, sem fins lucrativos - OSC, sendo CTG (Centro de Tradições Gaúchas) do município, interessados em celebrar Termo de Colaboração, cujo objeto será atendimento de até trezentos (300) alunos da rede municipal de educação, em Projeto de Cultura Gaúcha - Danç;prazo de inscrição, página oficial;;portal de divulgação, não é a página oficial do edital: serve para descobrir o número do processo e o nome do órgão, e a partir daí a fonte é o site do órgão;pncp_api_consulta;sim;e372219db856c7729beb
3;sem_prazo_confirmado;;;aprovado;MA;MA/Paulo Ramos;PNCP — MUNICIPIO DE PAULO RAMOS;Chamamento Público para seleção de Organização da Sociedade Civil – OSC para celebração de Termo de Fomento visando à execução de ações especializadas em Oftalmologia, compreendendo consultas, exames, emissão de laudos, prescrição óptica e fornecimento de óculos mediante indicação médica individuali;prazo de inscrição, página oficial;;portal de divulgação, não é a página oficial do edital: serve para descobrir o número do processo e o nome do órgão, e a partir daí a fonte é o site do órgão;pncp_api_consulta;sim;e8de25d724d1de2c80b0
3;sem_prazo_confirmado;;;aprovado;;;;Instituto Impactarte abre edital para projetos de impacto social com apoio de até R$ 150 mil;prazo de inscrição;https://www.impactarte.org.br/cadastro-proponente;;portal_de_noticia_do_terceiro_setor;nao;ea14b1b3f360d2dc8637
3;sem_prazo_confirmado;;;aprovado;SP;SP/Piraju;PNCP — CONSORCIO INTERMUNICIPAL DO ALTO VALE DO PARANAPANEMA - AMVAPA.;SELEÇÃO DE ORGANIZAÇÃO DA SOCIEDADE CIVIL - OSC, SEM FINS LUCRATIVOS, REGULARMENTE CONSTITUÍDA, QUALIFICADA E INTERESSADA EM CELEBRAR PARCERIA COM O CONSÓRCIO INTERMUNICIPAL DO ALTO VALE DO PARANAPANEMA - AMVAPA, PARA EXECUÇÃO DE SERVIÇO DE ACOLHIMENTO INSTITUCIONAL PARA MULHERES EM SITUAÇÃO DE VIO;prazo de inscrição, página oficial;;plataforma_privada_de_licitacao: não serve como fonte de prazo, objeto, pagina_oficial. relocalizar o registro pela busca oficial do PNCP (familia pncp_busca) e usar a pagina do PNCP como pagina ofici;plataforma_privada_de_licitacao;nao;ebc55c857ceb4b7c6d91
3;sem_prazo_confirmado;;;aprovado;GO;GO/Planaltina;PNCP — MUNICIPIO DE PLANALTINA;[Portal de Compras Públicas] - Seleção de Propostas apresentadas pelas Organizações da Sociedade Civil de Planaltina, que visem à execução de Atividades Esportivas e gestão de CAMPEONATO DE FUTEBOL AMADOR, TRABALHO COM CATEGORIAS DE BASE, FOMENTO ESPORTIVO E ESCOLINHA DE FUTEBOL, destinado ao atendi;prazo de inscrição, página oficial;;plataforma_privada_de_licitacao: não serve como fonte de prazo, objeto, pagina_oficial. relocalizar o registro pela busca oficial do PNCP (familia pncp_busca) e usar a pagina do PNCP como pagina ofici;plataforma_privada_de_licitacao;nao;f55515b0dd2abb47203c
