id;estado;veredito;familia;uf;municipio;inicio;fim;prazo;rota_usada;achado;proximo_passo;objeto;pagina_oficial
0f888634;fechada;reprovado;servico_ao_orgao;MG;MG/Ilicínea;;;sem_prazo_confirmado;decidido pelo proprio objeto, sem necessidade do documento;Familia de inconformidade servico_ao_orgao: o objeto por si so define o veredito. Prazo nao confirmado deixou de importar, porque o registro nao e edital de fomento a OSC e nenhuma data mudaria isso.;;O CREDENCIAMENTO DE PRESTAÇÃO DE SERVIÇOS DE MÃO DE OBRA DE TORNEIRO E SOLDADOR DESTINADO A CONTRATAÇÕES DE EMPRESAS ESPECIALIZADAS PARA MANUTENÇÃO PREVENTIVA E CORRETIVA DOS VEÍCULOS DA FROTA MUNICIPAL E OUTROS SERVIÇOS, COMO MANUTENÇÃO NAS DEPENDÊNCIAS DOS PRÉDIOS E SUAS SECRETARIAS.;
1031e403;fechada;reprovado;convenio_de_desconto;CE;Fortaleza;2024-05-06;2025-12-19;encerrado;objeto integral declarado pelo proprio orgao na API oficial de consulta do PNCP, lido registro por registro;Credenciamento de parcerias com pessoas juridicas para oferecer DESCONTO de no minimo 15% aos profissionais registrados no CRC do Ceara. Nao ha repasse de recurso em nenhuma direcao: e convenio de beneficio a associados. Familia nova. Prazo confirmado 06/05/2024 a 19/12/2025.;;O presente chamamento público tem por objeto a realização de credenciamento de parcerias com pessoas jurídicas com fins lucrativos ou não, que atuem em áreas diversas, e que não possuam ingerência com o Programa de Educação Continuada, para oferecer desconto de, no mínimo, 15% (quinze por cento) sobre seus serviços e/ou produtos aos profissionais devidamente registrados e regulares perante o CRCCE, bem como para os funcionários do Órgão, podendo estender tais benefícios para os respectivos;https://pncp.gov.br/app/editais/07093503000106/2024/10
10601c21;fechada;reprovado;servico_ao_orgao;SP;SP/Artur Nogueira;;;sem_prazo_confirmado;decidido pelo proprio objeto, sem necessidade do documento;Familia de inconformidade servico_ao_orgao: o objeto por si so define o veredito. Prazo nao confirmado deixou de importar, porque o registro nao e edital de fomento a OSC e nenhuma data mudaria isso.;;EDITAL DE CREDENCIAMENTO DE ORGANIZAÇÃO DE SOCIEDADE CIVIL (OSC´S) PARA PRESTAÇÃO DE SERVIÇOS EM ATENDIMENTO À DEMANDA DESTA SECRETARIA DE CULTURA NO MUNICÍPIO DE ARTUR NOGUEIRA QUE VISEM PROMOVER, INCENTIVAR E ACOMPANHAR O APRENDIZADO COM AULAS DE INICIAÇÃO MUSICAL. INICIAÇÃO MUSICAL NAS MODALIDADE;
10e2daff;fechada;aprovado;;SP;Pindamonhangaba;2025-07-01;2025-08-17;encerrado;documento do edital anexado pelo proprio orgao ao registro do PNCP, baixado e lido por pdf.js no navegador do titular (origem declarada);"PRAZO CONFIRMADO NO DOCUMENTO de Pindamonhangaba/SP: ""Cronograma - 1 de julho a 17 agosto de 2025 - Inscricao, 30 de agosto de 2025 - Divulgacao dos selecionados, 12 de setembro de 2025 as 15h - Ensaio, 13 de setembro de 2025 as 19h - [Festival]"". Confirma a janela da API. Festival ANUAL com inscricao em julho: revisitar em junho.";;Edital de Chamamento Público de Concurso Cultural - 12º Festival de Música da Juventude 2025, conforme edital, decreto e leis em anexo”;https://pncp.gov.br/app/editais/45226214000119/2025/122
12413d79;fechada;reprovado;servico_ao_orgao;RO;Vilhena;2024-05-02;2024-05-16;encerrado;objeto integral declarado pelo proprio orgao na API oficial de consulta do PNCP, lido registro por registro;Credenciamento de PJ para realizacao de procedimentos, atividades ou acoes na area de saude publica em Vilhena/RO. Objeto generico, padrao de credenciamento de prestador. Prazo confirmado 02 a 16/05/2024.;;Chamamento Público para Credenciamento de Pessoas Jurídicas para Realização de Procedimentos, Atividades ou Ações na Área de Saúde Pública para atender as necessidades da população de Vilhena.;https://pncp.gov.br/app/editais/21467008000132/2024/5
124e7299;fechada;aprovado;;DF;Brasília;2025-11-04;2025-11-18;encerrado;objeto integral declarado pelo proprio orgao na API oficial de consulta do PNCP, lido registro por registro;Credenciamento de ORGANIZACOES DA SOCIEDADE CIVIL para execucao DESCENTRALIZADA de projetos de educacao empreendedora para mulheres em vulnerabilidade, com cursos itinerantes e ateliês colaborativos, pela Secretaria da Micro e Pequena Empresa. Fomento a projeto executado pela OSC. Prazo confirmado 04 a 18/11/2025, encerrado. O mesmo orgao tem credenciamento ABERTO ate 15/09/2026 (registro 8de3468c): mesma porta, ciclo novo.;;Chamamento público tem por objeto o credenciamento de Organizações da Sociedade Civil para execução descentralizada de projetos voltados ao serviço de educação empreendedora, iniciativa que visa promover a autonomia financeira e a melhoria da qualidade de vida de mulheres em situação de vulnerabilidade, por meio da oferta de cursos itinerantes de corte, costura, modelagem e empreendedorismo e da implantação de ateliês colaborativos fixos.;https://pncp.gov.br/app/editais/18299670000116/2025/58
14349498;fechada;reprovado;pagina_institucional;;;;;sem_prazo_confirmado;decidido pelo proprio objeto, sem necessidade do documento;Familia de inconformidade pagina_institucional: o objeto por si so define o veredito. Prazo nao confirmado deixou de importar, porque o registro nao e edital de fomento a OSC e nenhuma data mudaria isso.;;;https://petrobras.com.br/
14bd072e;fechada;reprovado;servico_ao_orgao;SC;Concórdia;2023-12-26;2023-12-26;encerrado;objeto integral declarado pelo proprio orgao na API oficial de consulta do PNCP, lido registro por registro;Credenciamento de OFICINAS ARTISTICAS para execucao de oficinas culturais e recreativas para usuarios do CAPS II do Fundo Municipal de Saude de Concordia/SC. E prestacao de servico de oficina, remunerada por oficina realizada, dentro de um servico de saude. Prazo confirmado 26/12/2023.;;Credenciamento de OFICINAS ARTÍSTICAS para a execução de oficinas culturais, educacionais e recreativas visando a reabilitação psicossocial dos usuários do Centro de Atenção Psicossocial - CAPS II do Fundo Municipal de Saúde, nos termos do Edital de Credenciamento 06/2023 - FMS.;https://pncp.gov.br/app/editais/10455823000165/2023/10
16243ab9;fechada;reprovado;servico_ao_orgao;PE;PE/Aliança;;;sem_prazo_confirmado;decidido pelo proprio objeto, sem necessidade do documento;Objeto: pessoas juridicas preferencialmente filantropicas, art. 199 par. 1 da Constituicao: prestacao complementar ao SUS. O prazo nao foi confirmado e isso deixou de importar: o registro nao e edital de fomento a OSC, e nenhuma data mudaria esse veredito. Familia de inconformidade: servico_ao_orgao. Fica na base como reprovado, com o motivo, e nao consome mais fila de verificacao.;;CREDENCIAMENTO DE PESSOAS JURÍDICAS DE DIREITO PRIVADO, PREFERENCIALMENTE AS ENTIDADES FILANTRÓPICAS E AS SEM FINS LUCRATIVOS (previsão do art. 199, §1º da CF), INTERESSADAS EM PRESTAR SERVIÇOS DE ASSISTÊNCIA À SAÚDE DE BAIXA, MÉDIA E ALTA COMPLEXIDADE, DE FORMA COMPLEMENTAR.;
1670991e;fechada;reprovado;servico_ao_orgao;SC;Navegantes;;;sem_prazo_confirmado;documento do edital anexado pelo proprio orgao ao registro do PNCP, baixado e lido por pdf.js no navegador do titular (origem declarada);"FECHADO PELO DOCUMENTO. O edital de 60 paginas comeca assim: ""DO OBJETO 1.1 O presente edital visa: CREDENCIAMENTO VISANDO A CONTRATACAO DE ENTIDADES PRIVADAS, SEM FINS LUCRATIVOS, OSCIPS E/OU PESSOAS JURIDICAS PRIVADAS COM FINS LUCRATIVOS"". A palavra CONTRATACAO esta no objeto e nao ha instrumento de parceria em nenhum lugar: e contratacao de vaga de internacao, remunerada por paciente. O documento nao traz cronograma de inscricao — e credenciamento de fluxo continuo — e por isso os dois campos de data ficam nulos, agora com motivo lido no proprio edital, nao por falta de verificacao.";;CONTRATAÇÃO DE ENTIDADES PRIVADAS, SEM FINS LUCRATIVOS, ORGANIZAÇÕES DA SOCIEDADE CIVIL DE INTERESSE PÚBLICO - OSCIPS E/OU PESSOAS JURÍDICAS PRIVADAS COM FINS LUCRATIVOS, QUE REALIZEM A INTERNAÇÃO, EXCLUSIVAMENTE VOLUNTÁRIA, EM REGIME RESIDENCIAL TRANSITÓRIO, DESTINADO A HOMENS E MULHERES COM IDADE ENTRE 18 (DEZOITO) E 59 (CINQUENTA E NOVE) ANOS, COM TRANSTORNOS DECORRENTES DO USO, ABUSO OU DEPENDÊNCIA DE SUBSTÂNCIAS QUÍMICAS;https://pncp.gov.br/app/editais/11474080000133/2024/20
18d79041;fechada;reprovado;uso_de_espaco_publico;MT;MT/Água Boa;;;sem_prazo_confirmado;decidido pelo proprio objeto, sem necessidade do documento;Objeto: exploracao de potencial publicitario das rotatorias do municipio, em contrapartida: e concessao de uso publicitario a empresa. O prazo nao foi confirmado e isso deixou de importar: o registro nao e edital de fomento a OSC, e nenhuma data mudaria esse veredito. Familia de inconformidade: uso_de_espaco_publico. Fica na base como reprovado, com o motivo, e nao consome mais fila de verificacao.;;CHAMAMENTO PÚBLICO PARA CREDENCIAMENTO DE EMPRESAS INTERESSADAS EM AUTORIZAÇÃO PARA EXPLORAÇÃO DE POTENCIAL PUBLICITÁRIO DAS ROTATÓRIAS DO MUNICÍPIO DE ÁGUA BOA, EM CONTRAPARTIDA DA EXECUÇÃO DE REQUALIFICAÇÃO PAISAGÍSTICA E MANUTENÇÃO, ATRAVÉS DO PROGRAMA;
1a298f0b;fechada;reprovado;conteudo_institucional;;;;;sem_prazo_confirmado;decidido pelo proprio objeto, sem necessidade do documento;Familia de inconformidade conteudo_institucional: o objeto por si so define o veredito. Prazo nao confirmado deixou de importar, porque o registro nao e edital de fomento a OSC e nenhuma data mudaria isso.;;;
1ae34a83;fechada;reprovado;servico_ao_orgao;PE;PE/Vertentes;;;sem_prazo_confirmado;decidido pelo proprio objeto, sem necessidade do documento;Familia de inconformidade servico_ao_orgao: o objeto por si so define o veredito. Prazo nao confirmado deixou de importar, porque o registro nao e edital de fomento a OSC e nenhuma data mudaria isso.;;CREDENCIAMENTO DE LABORATÓRIO(S) DE ANÁLISES CLÍNICAS, MEDIANTE CHAMAMENTO PÚBLICO, PARA A PRESTAÇÃO DE SERVIÇOS DE EXAMES LABORATORIAIS E APOIO DIAGNÓSTICO, DE ACORDO COM A TABELA SIGTAP/SUS, DESTINADOS AO ATENDIMENTO DA DEMANDA DA POPULAÇÃO USUÁRIA DO SUS EM VERTENTES-PE;
1b7d79cf;fechada;reprovado;resultado_de_habilitacao;;;;;sem_prazo_confirmado;decidido pelo proprio objeto, sem necessidade do documento;Familia de inconformidade resultado_de_habilitacao: o objeto por si so define o veredito. Prazo nao confirmado deixou de importar, porque o registro nao e edital de fomento a OSC e nenhuma data mudaria isso.;;;https://goias.gov.br/cultura/
1c3e7900;fechada;reprovado;servico_ao_orgao;MG;Barão de Cocais;2024-07-08;2024-07-08;encerrado;objeto integral declarado pelo proprio orgao na API oficial de consulta do PNCP, lido registro por registro;Credenciamento de clinica ou hospital para internacao psiquiatrica compulsoria ou involuntaria por ordem judicial, em Barao de Cocais/MG. Contratacao de leito, remunerada por internacao. Prazo confirmado 08/07/2024.;;Credenciamento de Clínica ou Hospital especializado para tratamento de transtornos mentais graves, severos e moderado para ambos os sexos, maiores de 18 anos, mediante atendimento especializado com equipe multidisciplinar em regime de internação por ordem judicial (compulsória) e /ou involuntária.;https://pncp.gov.br/app/editais/18317685000160/2025/1
1dcb5c58;fechada;reprovado;uso_de_espaco_publico;MT;MT/Sinop;;;sem_prazo_confirmado;decidido pelo proprio objeto, sem necessidade do documento;Objeto: comercializacao de alimentos e bebidas por empresas em evento do municipio. O prazo nao foi confirmado e isso deixou de importar: o registro nao e edital de fomento a OSC, e nenhuma data mudaria esse veredito. Familia de inconformidade: uso_de_espaco_publico. Fica na base como reprovado, com o motivo, e nao consome mais fila de verificacao.;;CHAMAMENTO PÚBLICO PARA CREDENCIAMENTO DE EMPRESAS QUE TENHAM INTERESSE NA COMERCIALIZAÇÃO DE ALIMENTOS E BEBIDAS DE EMPRESAS PÚBLICAS E/OU PRIVADAS   PARA ATENDER A REALIZAÇÃO DO EVENTO “FESTIVIDADES DE 50 ANOS DE SINOP” ALUSIVO AO “ANIVERSÁRIO DE 50 ANO;
1edc603e;fechada;reprovado;servico_ao_orgao;PR;Pato Branco;2024-08-05;2024-08-05;encerrado;objeto integral declarado pelo proprio orgao na API oficial de consulta do PNCP, lido registro por registro;Chamamento 001/2023 do Consorcio Intermunicipal de Saude: servicos complementares especializados. Prazo confirmado 05/08/2024. Um dos 24 registros que o consorcio publica repetidamente para o mesmo credenciamento — ver nota de duplicidade no relatorio.;;Chamamento Público nº 001/2023 - Credenciamento de pessoas jurídicas para a realização de serviços complementares especializados.;https://pncp.gov.br/app/editais/00136858000188/2024/211
1fba62c2;fechada;reprovado;servico_ao_orgao;BA;BA/Curaçá;;;sem_prazo_confirmado;decidido pelo proprio objeto, sem necessidade do documento;Familia de inconformidade servico_ao_orgao: o objeto por si so define o veredito. Prazo nao confirmado deixou de importar, porque o registro nao e edital de fomento a OSC e nenhuma data mudaria isso.;;Chamamento Público para fins de credenciamento para contratação de Pessoa Jurídica para prestação de serviços de Coffee Break e refeições à la carte, necessário ao atendimento das demandas das Secretarias Municipais de Curaçá-BA;
20217e16;fechada;reprovado;servico_ao_orgao;CE;CE/Eusébio;;;sem_prazo_confirmado;decidido pelo proprio objeto, sem necessidade do documento;Objeto: servicos especializados de exames de media e alta complexidade pela tabela da AMB. O prazo nao foi confirmado e isso deixou de importar: o registro nao e edital de fomento a OSC, e nenhuma data mudaria esse veredito. Familia de inconformidade: servico_ao_orgao. Fica na base como reprovado, com o motivo, e nao consome mais fila de verificacao.;;Credenciamento de interessados em serviços especializados de exames de média e alta complexidade, conforme a tabela da associação médica brasileira (AMB), visando atendimento das necessidades da Secretaria de Saúde do Município de Eusébio/CE.;
20e27764;fechada;atencao;;PR;Palmas;2024-10-04;2024-10-30;encerrado;objeto integral declarado pelo proprio orgao na API oficial de consulta do PNCP, lido registro por registro;Credenciamento de OSCs para prestar Protecao Social Especial de Alta Complexidade na modalidade acolhimento para idosos, em Palmas/PR, com garantia de 5 vagas a administracao e metas para todos os acolhidos. Destinatario sao OSCs e ha metas — marca de plano de trabalho — mas tambem ha reserva de vagas, marca de compra. Prazo confirmado 04 a 30/10/2024, encerrado. Conferir o instrumento no edital.;;PMIS - Credenciamento de Organizações da Sociedade Civil – OSCs para Prestar Serviço de Proteção Social Especial de Alta Complexidade na modalidade de acolhimento para idosos. (as) com 60 anos ou mais, de ambos os sexos, independentes e/ou com diversos graus de dependência que residam no município. A natureza do acolhimento deverá ser provisória e, excepcionalmente, de longa permanência quando esgotadas todas as possibilidades de autossustento e convívio com os familiares. É previsto para idosos (as) que não dispõem de condições para permanecer com a família, com Vicência de situações de violência e negligência, em situação de rua e de abandono, garantindo 05 vagas a administração municipal e cumprindo as metas para todos os acolhidos.;https://pncp.gov.br/app/editais/76161181000108/2024/92
2316d549;fechada;reprovado;servico_ao_orgao;BA;Barra da Estiva;2025-01-09;2025-01-23;encerrado;objeto integral declarado pelo proprio orgao na API oficial de consulta do PNCP, lido registro por registro;Credenciamento de pessoas fisicas e juridicas em 17 especialidades medicas e profissionais de saude para a Secretaria Municipal de Saude. E contratacao de prestador remunerado por atendimento. Prazo confirmado 09 a 23/01/2025.;;Chamamento Público para Credenciamento de pessoas físicas e pessoas jurídicas, compreendendo as especialidades de MÉDICO PEDIATRA, MÉDICO OFTALMOLOGISTA, MÉDICO PSIQUIATRA, MÉDICO GINECOLOGISTA, MÉDICO NEUROLOGISTA, MÉDICO ORTOPEDISTA, MÉDICO ULTRASSONOGRAFISTA, MÉDICO CLÍNICO GERAL (PSF), DENTISTA, FARMACÊUTICO E BIOQUÍMICO, PSICOLÓGO, ASSISTENTE SOCIAL, FISIOTERAPEUTA, EDUCADOR FÍSICO, TERAPEUTA OCUPACIONAL, NUTRICIONISTA, FONOAUDIÓLOGO, para atender as necessidades da Secretaria Municipal de Saúde de Barra da Estiva.;https://pncp.gov.br/app/editais/13670658000152/2025/1
