0.00.000.328 I srv  llama_server: initializing ...
0.00.009.616 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.010.060 W srv  llama_server: security: no API key is set and CORS allows all origins (see https://github.com/ggml-org/llama.cpp/pull/25655)
0.00.011.316 I srv    load_model: loading model '/home/runner/work/Eldorado/Eldorado/ia_local/modelos/Llama-3.2-3B-Instruct-Q4_K_M.gguf'
0.01.910.491 I cmn          init: llama threadpool init, n_threads = 4
0.02.153.466 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 4096, kv_unified = 'true'
0.02.161.958 I srv  llama_server: model loaded
0.02.161.969 I srv  llama_server: listening on http://127.0.0.1:8081
0.03.035.111 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
1.23.877.161 I slot launch_slot_: id  3 | task 570 | processing task, is_child = 0
1.33.924.314 I slot print_timing: id  3 | task 570 | prompt eval time =    5662.67 ms /   169 tokens (   33.51 ms per token,    29.84 tokens per second)
1.33.924.328 I slot print_timing: id  3 | task 570 |        eval time =    4384.43 ms /    61 tokens (   73.07 ms per token,    13.68 tokens per second)
1.33.924.329 I slot print_timing: id  3 | task 570 |       total time =   10047.09 ms /   230 tokens
1.33.924.330 I slot print_timing: id  3 | task 570 |    graphs reused =        610
1.33.925.005 I slot      release: id  3 | task 570 | stop processing: n_tokens = 566, truncated = 0
1.33.933.331 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.381 (> 0.100 thold), f_keep = 0.203
1.33.947.614 I slot launch_slot_: id  3 | task 632 | processing task, is_child = 0
1.41.586.511 I slot print_timing: id  3 | task 632 | prompt eval time =    3569.15 ms /   108 tokens (   33.05 ms per token,    30.26 tokens per second)
1.41.586.521 I slot print_timing: id  3 | task 632 |        eval time =    4069.69 ms /    61 tokens (   67.83 ms per token,    14.74 tokens per second)
1.41.586.522 I slot print_timing: id  3 | task 632 |       total time =    7638.84 ms /   169 tokens
1.41.586.523 I slot print_timing: id  3 | task 632 |    graphs reused =        669
1.41.586.591 I slot      release: id  3 | task 632 | stop processing: n_tokens = 362, truncated = 0
1.41.595.773 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.242 (> 0.100 thold), f_keep = 0.318
1.41.607.983 I slot launch_slot_: id  3 | task 694 | processing task, is_child = 0
1.49.464.832 I slot print_timing: id  3 | task 694 | prompt eval time =    4737.16 ms /   139 tokens (   34.08 ms per token,    29.34 tokens per second)
1.49.464.846 I slot print_timing: id  3 | task 694 |        eval time =    3119.65 ms /    46 tokens (   69.33 ms per token,    14.42 tokens per second)
1.49.464.847 I slot print_timing: id  3 | task 694 |       total time =    7856.80 ms /   185 tokens
1.49.464.848 I slot print_timing: id  3 | task 694 |    graphs reused =        712
1.49.464.932 I slot      release: id  3 | task 694 | stop processing: n_tokens = 521, truncated = 0
1.49.473.749 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.820 (> 0.100 thold), f_keep = 0.647
1.49.473.926 I slot launch_slot_: id  3 | task 741 | processing task, is_child = 0
1.54.983.192 I slot print_timing: id  3 | task 741 | prompt eval time =    2557.69 ms /    74 tokens (   34.56 ms per token,    28.93 tokens per second)
1.54.983.200 I slot print_timing: id  3 | task 741 |        eval time =    2951.54 ms /    45 tokens (   67.08 ms per token,    14.91 tokens per second)
1.54.983.201 I slot print_timing: id  3 | task 741 |       total time =    5509.23 ms /   119 tokens
1.54.983.202 I slot print_timing: id  3 | task 741 |    graphs reused =        755
1.54.983.556 I slot      release: id  3 | task 741 | stop processing: n_tokens = 455, truncated = 0
1.54.995.403 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.663 (> 0.100 thold), f_keep = 0.741
1.54.995.590 I slot launch_slot_: id  3 | task 787 | processing task, is_child = 0
2.04.015.707 I slot print_timing: id  3 | task 787 | prompt eval time =    5748.99 ms /   171 tokens (   33.62 ms per token,    29.74 tokens per second)
2.04.015.768 I slot print_timing: id  3 | task 787 |        eval time =    3271.07 ms /    45 tokens (   74.34 ms per token,    13.45 tokens per second)
2.04.015.812 I slot print_timing: id  3 | task 787 |       total time =    9020.06 ms /   216 tokens
2.04.015.833 I slot print_timing: id  3 | task 787 |    graphs reused =        797
2.04.016.839 I slot      release: id  3 | task 787 | stop processing: n_tokens = 552, truncated = 0
2.04.024.582 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.386 (> 0.100 thold), f_keep = 0.208
2.04.037.358 I slot launch_slot_: id  3 | task 833 | processing task, is_child = 0
2.14.217.902 I slot print_timing: id  3 | task 833 | n_gen =    100, tg =  14.64 t/s, tg_3s =  14.79 t/s
2.17.214.367 I slot print_timing: id  3 | task 833 | prompt eval time =    3418.25 ms /   104 tokens (   32.87 ms per token,    30.42 tokens per second)
2.17.214.380 I slot print_timing: id  3 | task 833 |        eval time =    9758.67 ms /   142 tokens (   69.21 ms per token,    14.45 tokens per second)
2.17.214.381 I slot print_timing: id  3 | task 833 |       total time =   13176.92 ms /   246 tokens
2.17.214.382 I slot print_timing: id  3 | task 833 |    graphs reused =        937
2.17.214.448 I slot      release: id  3 | task 833 | stop processing: n_tokens = 439, truncated = 0
2.17.223.511 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.253 (> 0.100 thold), f_keep = 0.262
2.17.235.237 I slot launch_slot_: id  3 | task 976 | processing task, is_child = 0
2.24.239.462 I slot print_timing: id  3 | task 976 | prompt eval time =    3759.19 ms /   112 tokens (   33.56 ms per token,    29.79 tokens per second)
2.24.239.471 I slot print_timing: id  3 | task 976 |        eval time =    3244.97 ms /    45 tokens (   73.75 ms per token,    13.56 tokens per second)
2.24.239.472 I slot print_timing: id  3 | task 976 |       total time =    7004.16 ms /   157 tokens
2.24.239.473 I slot print_timing: id  3 | task 976 |    graphs reused =        980
2.24.239.923 I slot      release: id  3 | task 976 | stop processing: n_tokens = 498, truncated = 0
2.24.248.760 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.431 (> 0.100 thold), f_keep = 0.231
2.24.260.551 I slot launch_slot_: id  3 | task 1022 | processing task, is_child = 0
2.32.525.000 I slot print_timing: id  3 | task 1022 | prompt eval time =    2304.22 ms /    68 tokens (   33.89 ms per token,    29.51 tokens per second)
2.32.525.020 I slot print_timing: id  3 | task 1022 |        eval time =    5960.16 ms /    87 tokens (   69.30 ms per token,    14.43 tokens per second)
2.32.525.021 I slot print_timing: id  3 | task 1022 |       total time =    8264.38 ms /   155 tokens
2.32.525.022 I slot print_timing: id  3 | task 1022 |    graphs reused =       1065
2.32.525.088 I slot      release: id  3 | task 1022 | stop processing: n_tokens = 353, truncated = 0
2.32.536.074 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.252 (> 0.100 thold), f_keep = 0.326
2.32.546.973 I slot launch_slot_: id  3 | task 1110 | processing task, is_child = 0
2.39.577.313 I slot print_timing: id  3 | task 1110 | prompt eval time =    3983.70 ms /   120 tokens (   33.20 ms per token,    30.12 tokens per second)
2.39.577.323 I slot print_timing: id  3 | task 1110 |        eval time =    3046.58 ms /    45 tokens (   69.24 ms per token,    14.44 tokens per second)
2.39.577.324 I slot print_timing: id  3 | task 1110 |       total time =    7030.28 ms /   165 tokens
2.39.577.325 I slot print_timing: id  3 | task 1110 |    graphs reused =       1108
2.39.580.800 I slot      release: id  3 | task 1110 | stop processing: n_tokens = 501, truncated = 0
2.39.586.190 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.426 (> 0.100 thold), f_keep = 0.230
2.39.598.396 I slot launch_slot_: id  3 | task 1156 | processing task, is_child = 0
2.48.921.299 I slot print_timing: id  3 | task 1156 | n_gen =    100, tg =  14.67 t/s, tg_3s =  14.82 t/s
2.51.781.573 I slot print_timing: id  3 | task 1156 | prompt eval time =    2573.63 ms /    76 tokens (   33.86 ms per token,    29.53 tokens per second)
2.51.781.581 I slot print_timing: id  3 | task 1156 |        eval time =    9609.50 ms /   142 tokens (   68.15 ms per token,    14.67 tokens per second)
2.51.781.582 I slot print_timing: id  3 | task 1156 |       total time =   12183.13 ms /   218 tokens
2.51.781.583 I slot print_timing: id  3 | task 1156 |    graphs reused =       1248
2.51.782.024 I slot      release: id  3 | task 1156 | stop processing: n_tokens = 411, truncated = 0
2.51.790.879 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.252 (> 0.100 thold), f_keep = 0.280
2.51.802.601 I slot launch_slot_: id  3 | task 1299 | processing task, is_child = 0
2.51.802.652 W slot   operator(): id  3 | task 1299 | need to evaluate at least 1 token for each active slot (n_past = 457, task.n_tokens() = 457)
2.51.802.653 W slot   operator(): id  3 | task 1299 | n_past was set to 456
2.54.897.300 I slot print_timing: id  3 | task 1299 | prompt eval time =      67.78 ms /     1 tokens (   67.78 ms per token,    14.75 tokens per second)
2.54.897.309 I slot print_timing: id  3 | task 1299 |        eval time =    3026.86 ms /    45 tokens (   68.79 ms per token,    14.54 tokens per second)
2.54.897.310 I slot print_timing: id  3 | task 1299 |       total time =    3094.63 ms /    46 tokens
2.54.897.311 I slot print_timing: id  3 | task 1299 |    graphs reused =       1293
2.54.897.394 I slot      release: id  3 | task 1299 | stop processing: n_tokens = 501, truncated = 0
2.54.910.226 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.426 (> 0.100 thold), f_keep = 0.230
2.54.922.319 I slot launch_slot_: id  3 | task 1345 | processing task, is_child = 0
2.54.922.395 W slot   operator(): id  3 | task 1345 | need to evaluate at least 1 token for each active slot (n_past = 270, task.n_tokens() = 270)
2.54.922.417 W slot   operator(): id  3 | task 1345 | n_past was set to 269
3.01.784.293 I slot print_timing: id  3 | task 1345 | n_gen =    100, tg =  14.57 t/s, tg_3s =  14.72 t/s
3.04.642.112 I slot print_timing: id  3 | task 1345 | prompt eval time =      68.13 ms /     1 tokens (   68.13 ms per token,    14.68 tokens per second)
3.04.642.120 I slot print_timing: id  3 | task 1345 |        eval time =    9651.57 ms /   142 tokens (   68.45 ms per token,    14.61 tokens per second)
3.04.642.120 I slot print_timing: id  3 | task 1345 |       total time =    9719.70 ms /   143 tokens
3.04.642.122 I slot print_timing: id  3 | task 1345 |    graphs reused =       1435
3.04.642.188 I slot      release: id  3 | task 1345 | stop processing: n_tokens = 411, truncated = 0
3.04.651.425 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.202 (> 0.100 thold), f_keep = 0.280
3.04.663.642 I slot launch_slot_: id  3 | task 1488 | processing task, is_child = 0
3.15.679.513 I slot print_timing: id  3 | task 1488 | prompt eval time =    7793.73 ms /   233 tokens (   33.45 ms per token,    29.90 tokens per second)
3.15.679.590 I slot print_timing: id  3 | task 1488 |        eval time =    3222.05 ms /    45 tokens (   73.23 ms per token,    13.66 tokens per second)
3.15.679.612 I slot print_timing: id  3 | task 1488 |       total time =   11015.77 ms /   278 tokens
3.15.679.633 I slot print_timing: id  3 | task 1488 |    graphs reused =       1478
3.15.679.744 I slot      release: id  3 | task 1488 | stop processing: n_tokens = 614, truncated = 0
3.15.688.438 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.319 (> 0.100 thold), f_keep = 0.187
3.15.703.276 I slot launch_slot_: id  3 | task 1534 | processing task, is_child = 0
3.27.944.284 I slot print_timing: id  3 | task 1534 | n_gen =    100, tg =  14.56 t/s, tg_3s =  14.71 t/s
3.30.951.660 I slot print_timing: id  3 | task 1534 | n_gen =    143, tg =  14.48 t/s, tg_3s =  14.30 t/s
3.31.514.105 I slot print_timing: id  3 | task 1534 | prompt eval time =    5440.63 ms /   166 tokens (   32.77 ms per token,    30.51 tokens per second)
3.31.514.113 I slot print_timing: id  3 | task 1534 |        eval time =   10370.15 ms /   151 tokens (   69.13 ms per token,    14.46 tokens per second)
3.31.514.114 I slot print_timing: id  3 | task 1534 |       total time =   15810.78 ms /   317 tokens
3.31.514.115 I slot print_timing: id  3 | task 1534 |    graphs reused =       1627
3.31.514.189 I slot      release: id  3 | task 1534 | stop processing: n_tokens = 510, truncated = 0
3.31.523.236 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.232 (> 0.100 thold), f_keep = 0.225
3.31.537.540 I slot launch_slot_: id  3 | task 1686 | processing task, is_child = 0
3.40.656.802 I slot print_timing: id  3 | task 1686 | prompt eval time =    5345.54 ms /   158 tokens (   33.83 ms per token,    29.56 tokens per second)
3.40.656.868 I slot print_timing: id  3 | task 1686 |        eval time =    3773.61 ms /    54 tokens (   71.20 ms per token,    14.04 tokens per second)
3.40.656.895 I slot print_timing: id  3 | task 1686 |       total time =    9119.15 ms /   212 tokens
3.40.656.921 I slot print_timing: id  3 | task 1686 |    graphs reused =       1678
3.40.660.801 I slot      release: id  3 | task 1686 | stop processing: n_tokens = 548, truncated = 0
3.40.665.855 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.889 (> 0.100 thold), f_keep = 0.626
3.40.666.036 I slot launch_slot_: id  3 | task 1741 | processing task, is_child = 0
3.45.458.832 I slot print_timing: id  3 | task 1741 | prompt eval time =    1636.35 ms /    43 tokens (   38.05 ms per token,    26.28 tokens per second)
3.45.458.840 I slot print_timing: id  3 | task 1741 |        eval time =    3156.39 ms /    48 tokens (   67.16 ms per token,    14.89 tokens per second)
3.45.458.841 I slot print_timing: id  3 | task 1741 |       total time =    4792.74 ms /    91 tokens
3.45.458.842 I slot print_timing: id  3 | task 1741 |    graphs reused =       1724
3.45.458.919 I slot      release: id  3 | task 1741 | stop processing: n_tokens = 433, truncated = 0
3.45.468.197 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.712 (> 0.100 thold), f_keep = 0.778
3.45.468.384 I slot launch_slot_: id  3 | task 1790 | processing task, is_child = 0
3.57.166.343 I slot print_timing: id  3 | task 1790 | n_gen =    100, tg =  14.02 t/s, tg_3s =  14.16 t/s
3.57.672.256 I slot print_timing: id  3 | task 1790 | prompt eval time =    4635.32 ms /   136 tokens (   34.08 ms per token,    29.34 tokens per second)
3.57.672.265 I slot print_timing: id  3 | task 1790 |        eval time =    7568.50 ms /   107 tokens (   71.40 ms per token,    14.01 tokens per second)
3.57.672.266 I slot print_timing: id  3 | task 1790 |       total time =   12203.82 ms /   243 tokens
3.57.672.268 I slot print_timing: id  3 | task 1790 |    graphs reused =       1828
3.57.672.357 I slot      release: id  3 | task 1790 | stop processing: n_tokens = 579, truncated = 0
3.57.681.125 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.408 (> 0.100 thold), f_keep = 0.199
3.57.695.245 I slot launch_slot_: id  3 | task 1898 | processing task, is_child = 0
4.06.412.026 I slot print_timing: id  3 | task 1898 | prompt eval time =    2917.10 ms /    88 tokens (   33.15 ms per token,    30.17 tokens per second)
4.06.412.034 I slot print_timing: id  3 | task 1898 |        eval time =    5799.59 ms /    88 tokens (   66.66 ms per token,    15.00 tokens per second)
4.06.412.035 I slot print_timing: id  3 | task 1898 |       total time =    8716.69 ms /   176 tokens
4.06.412.036 I slot print_timing: id  3 | task 1898 |    graphs reused =       1914
4.06.413.381 I slot      release: id  3 | task 1898 | stop processing: n_tokens = 369, truncated = 0
4.06.421.158 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.273 (> 0.100 thold), f_keep = 0.312
4.06.432.870 I slot launch_slot_: id  3 | task 1987 | processing task, is_child = 0
4.12.395.225 I slot print_timing: id  3 | task 1987 | prompt eval time =    2947.76 ms /    85 tokens (   34.68 ms per token,    28.84 tokens per second)
4.12.395.233 I slot print_timing: id  3 | task 1987 |        eval time =    3014.50 ms /    45 tokens (   68.51 ms per token,    14.60 tokens per second)
4.12.395.234 I slot print_timing: id  3 | task 1987 |       total time =    5962.26 ms /   130 tokens
4.12.395.235 I slot print_timing: id  3 | task 1987 |    graphs reused =       1957
4.12.395.392 I slot      release: id  3 | task 1987 | stop processing: n_tokens = 466, truncated = 0
4.12.404.392 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.825 (> 0.100 thold), f_keep = 0.727
4.12.404.585 I slot launch_slot_: id  3 | task 2033 | processing task, is_child = 0
4.17.904.223 I slot print_timing: id  3 | task 2033 | prompt eval time =    2484.53 ms /    72 tokens (   34.51 ms per token,    28.98 tokens per second)
4.17.904.246 I slot print_timing: id  3 | task 2033 |        eval time =    3015.04 ms /    45 tokens (   68.52 ms per token,    14.59 tokens per second)
4.17.904.247 I slot print_timing: id  3 | task 2033 |       total time =    5499.57 ms /   117 tokens
4.17.904.248 I slot print_timing: id  3 | task 2033 |    graphs reused =       2000
4.17.904.396 I slot      release: id  3 | task 2033 | stop processing: n_tokens = 455, truncated = 0
4.17.913.470 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.658 (> 0.100 thold), f_keep = 0.741
4.17.913.662 I slot launch_slot_: id  3 | task 2079 | processing task, is_child = 0
4.30.063.408 I slot print_timing: id  3 | task 2079 | prompt eval time =    5908.78 ms /   175 tokens (   33.76 ms per token,    29.62 tokens per second)
4.30.063.474 I slot print_timing: id  3 | task 2079 |        eval time =    6240.90 ms /    87 tokens (   72.57 ms per token,    13.78 tokens per second)
4.30.063.500 I slot print_timing: id  3 | task 2079 |       total time =   12149.69 ms /   262 tokens
4.30.063.525 I slot print_timing: id  3 | task 2079 |    graphs reused =       2085
4.30.067.799 I slot      release: id  3 | task 2079 | stop processing: n_tokens = 598, truncated = 0
4.30.072.446 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.358 (> 0.100 thold), f_keep = 0.192
4.30.087.126 I slot launch_slot_: id  3 | task 2167 | processing task, is_child = 0
4.38.891.947 I slot print_timing: id  3 | task 2167 | prompt eval time =    4295.93 ms /   127 tokens (   33.83 ms per token,    29.56 tokens per second)
4.38.892.004 I slot print_timing: id  3 | task 2167 |        eval time =    4508.80 ms /    68 tokens (   67.30 ms per token,    14.86 tokens per second)
4.38.892.031 I slot print_timing: id  3 | task 2167 |       total time =    8804.73 ms /   195 tokens
4.38.892.056 I slot print_timing: id  3 | task 2167 |    graphs reused =       2151
4.38.895.852 I slot      release: id  3 | task 2167 | stop processing: n_tokens = 388, truncated = 0
4.38.901.565 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.204 (> 0.100 thold), f_keep = 0.296
4.38.913.623 I slot launch_slot_: id  3 | task 2236 | processing task, is_child = 0
4.50.019.578 I slot print_timing: id  3 | task 2236 | prompt eval time =    7532.94 ms /   227 tokens (   33.18 ms per token,    30.13 tokens per second)
4.50.019.586 I slot print_timing: id  3 | task 2236 |        eval time =    3572.91 ms /    50 tokens (   72.92 ms per token,    13.71 tokens per second)
4.50.019.587 I slot print_timing: id  3 | task 2236 |       total time =   11105.85 ms /   277 tokens
4.50.019.588 I slot print_timing: id  3 | task 2236 |    graphs reused =       2199
4.50.019.681 I slot      release: id  3 | task 2236 | stop processing: n_tokens = 613, truncated = 0
4.50.028.660 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.312 (> 0.100 thold), f_keep = 0.188
4.50.043.865 I slot launch_slot_: id  3 | task 2287 | processing task, is_child = 0
5.01.086.001 I slot print_timing: id  3 | task 2287 | prompt eval time =    5827.64 ms /   175 tokens (   33.30 ms per token,    30.03 tokens per second)
5.01.086.061 I slot print_timing: id  3 | task 2287 |        eval time =    5214.40 ms /    77 tokens (   68.61 ms per token,    14.58 tokens per second)
5.01.086.088 I slot print_timing: id  3 | task 2287 |       total time =   11042.04 ms /   252 tokens
5.01.086.113 I slot print_timing: id  3 | task 2287 |    graphs reused =       2274
5.01.086.475 I slot      release: id  3 | task 2287 | stop processing: n_tokens = 445, truncated = 0
5.01.095.366 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.239 (> 0.100 thold), f_keep = 0.258
5.01.107.970 I slot launch_slot_: id  3 | task 2365 | processing task, is_child = 0
5.13.197.597 I slot print_timing: id  3 | task 2365 | n_gen =    100, tg =  13.73 t/s, tg_3s =  13.86 t/s
5.13.635.984 I slot print_timing: id  3 | task 2365 | prompt eval time =    4876.57 ms /   145 tokens (   33.63 ms per token,    29.73 tokens per second)
5.13.636.042 I slot print_timing: id  3 | task 2365 |        eval time =    7651.35 ms /   106 tokens (   72.87 ms per token,    13.72 tokens per second)
5.13.636.068 I slot print_timing: id  3 | task 2365 |       total time =   12527.92 ms /   251 tokens
5.13.636.093 I slot print_timing: id  3 | task 2365 |    graphs reused =       2377
5.13.637.335 I slot      release: id  3 | task 2365 | stop processing: n_tokens = 587, truncated = 0
5.13.644.163 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.398 (> 0.100 thold), f_keep = 0.196
5.13.657.743 I slot launch_slot_: id  3 | task 2472 | processing task, is_child = 0
5.23.621.877 I slot print_timing: id  3 | task 2472 | n_gen =    100, tg =  14.70 t/s, tg_3s =  14.85 t/s
5.24.308.919 I slot print_timing: id  3 | task 2472 | prompt eval time =    3230.36 ms /    95 tokens (   34.00 ms per token,    29.41 tokens per second)
5.24.308.927 I slot print_timing: id  3 | task 2472 |        eval time =    7420.68 ms /   110 tokens (   68.08 ms per token,    14.69 tokens per second)
5.24.308.928 I slot print_timing: id  3 | task 2472 |       total time =   10651.04 ms /   205 tokens
5.24.308.929 I slot print_timing: id  3 | task 2472 |    graphs reused =       2485
5.24.312.842 I slot      release: id  3 | task 2472 | stop processing: n_tokens = 398, truncated = 0
5.24.318.122 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.215 (> 0.100 thold), f_keep = 0.289
5.24.331.720 I slot launch_slot_: id  3 | task 2583 | processing task, is_child = 0
5.37.116.896 I slot print_timing: id  3 | task 2583 | prompt eval time =    6617.12 ms /   198 tokens (   33.42 ms per token,    29.92 tokens per second)
5.37.116.910 I slot print_timing: id  3 | task 2583 |        eval time =    6168.01 ms /    86 tokens (   72.56 ms per token,    13.78 tokens per second)
5.37.116.911 I slot print_timing: id  3 | task 2583 |       total time =   12785.13 ms /   284 tokens
