0.00.000.338 I srv  llama_server: initializing ...
0.00.009.664 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.010.121 W srv  llama_server: security: no API key is set and CORS allows all origins (see https://github.com/ggml-org/llama.cpp/pull/25655)
0.00.010.201 E srv         start: couldn't bind HTTP server socket, hostname: 127.0.0.1, port: 8081
0.00.010.205 I srv    operator(): operator(): cleaning up before exit...
0.00.010.274 E srv  llama_server: exiting due to HTTP server error
0.00.000.364 I srv  llama_server: initializing ...
0.00.009.473 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.009.880 W srv  llama_server: security: no API key is set and CORS allows all origins (see https://github.com/ggml-org/llama.cpp/pull/25655)
0.00.011.145 I srv    load_model: loading model '/home/runner/work/Eldorado/Eldorado/ia_local/modelos/Llama-3.2-3B-Instruct-Q4_K_M.gguf'
0.01.837.951 I cmn          init: llama threadpool init, n_threads = 4
0.02.071.635 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 4096, kv_unified = 'true'
0.02.077.197 I srv  llama_server: model loaded
0.02.077.215 I srv  llama_server: listening on http://127.0.0.1:8081
0.03.009.754 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
0.32.764.208 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.371 (> 0.100 thold), f_keep = 0.320
0.32.774.730 I slot launch_slot_: id  3 | task 204 | processing task, is_child = 0
0.39.380.521 I slot print_timing: id  3 | task 204 | prompt eval time =    2376.88 ms /    70 tokens (   33.96 ms per token,    29.45 tokens per second)
0.39.380.531 I slot print_timing: id  3 | task 204 |        eval time =    4228.87 ms /    65 tokens (   66.08 ms per token,    15.13 tokens per second)
0.39.380.532 I slot print_timing: id  3 | task 204 |       total time =    6605.74 ms /   135 tokens
0.39.380.534 I slot print_timing: id  3 | task 204 |    graphs reused =        262
0.39.380.600 I slot      release: id  3 | task 204 | stop processing: n_tokens = 374, truncated = 0
0.39.391.981 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.549 (> 0.100 thold), f_keep = 0.642
0.39.392.170 I slot launch_slot_: id  3 | task 270 | processing task, is_child = 0
0.52.337.348 I slot print_timing: id  3 | task 270 | prompt eval time =    6577.04 ms /   197 tokens (   33.39 ms per token,    29.95 tokens per second)
0.52.337.358 I slot print_timing: id  3 | task 270 |        eval time =    6368.09 ms /    95 tokens (   67.75 ms per token,    14.76 tokens per second)
0.52.337.359 I slot print_timing: id  3 | task 270 |       total time =   12945.14 ms /   292 tokens
0.52.337.360 I slot print_timing: id  3 | task 270 |    graphs reused =        354
0.52.337.440 I slot      release: id  3 | task 270 | stop processing: n_tokens = 531, truncated = 0
0.52.347.006 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.513 (> 0.100 thold), f_keep = 0.452
0.52.356.421 I slot launch_slot_: id  3 | task 366 | processing task, is_child = 0
1.06.534.389 I slot print_timing: id  3 | task 366 | n_gen =    100, tg =  14.82 t/s, tg_3s =  14.97 t/s
1.09.296.713 I slot print_timing: id  3 | task 366 | prompt eval time =    7497.23 ms /   228 tokens (   32.88 ms per token,    30.41 tokens per second)
1.09.296.720 I slot print_timing: id  3 | task 366 |        eval time =    9443.02 ms /   140 tokens (   67.94 ms per token,    14.72 tokens per second)
1.09.296.721 I slot print_timing: id  3 | task 366 |       total time =   16940.24 ms /   368 tokens
1.09.296.722 I slot print_timing: id  3 | task 366 |    graphs reused =        491
1.09.298.063 I slot      release: id  3 | task 366 | stop processing: n_tokens = 607, truncated = 0
1.09.306.036 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.311 (> 0.100 thold), f_keep = 0.189
1.09.319.758 I slot launch_slot_: id  3 | task 507 | processing task, is_child = 0
1.21.505.359 I slot print_timing: id  3 | task 507 | n_gen =    100, tg =  15.34 t/s, tg_3s =  15.50 t/s
1.24.381.476 I slot print_timing: id  3 | task 507 | prompt eval time =    5732.31 ms /   176 tokens (   32.57 ms per token,    30.70 tokens per second)
1.24.381.536 I slot print_timing: id  3 | task 507 |        eval time =    9329.32 ms /   144 tokens (   65.24 ms per token,    15.33 tokens per second)
1.24.381.563 I slot print_timing: id  3 | task 507 |       total time =   15061.63 ms /   320 tokens
1.24.381.588 I slot print_timing: id  3 | task 507 |    graphs reused =        632
1.24.381.690 I slot      release: id  3 | task 507 | stop processing: n_tokens = 513, truncated = 0
1.24.390.705 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.281 (> 0.100 thold), f_keep = 0.224
1.24.404.166 I slot launch_slot_: id  3 | task 652 | processing task, is_child = 0
1.36.274.249 I slot print_timing: id  3 | task 652 | n_gen =    100, tg =  15.33 t/s, tg_3s =  15.49 t/s
1.38.584.900 I slot print_timing: id  3 | task 652 | prompt eval time =    5412.48 ms /   163 tokens (   33.21 ms per token,    30.12 tokens per second)
1.38.584.958 I slot print_timing: id  3 | task 652 |        eval time =    8768.16 ms /   134 tokens (   65.93 ms per token,    15.17 tokens per second)
1.38.584.986 I slot print_timing: id  3 | task 652 |       total time =   14180.64 ms /   297 tokens
1.38.585.012 I slot print_timing: id  3 | task 652 |    graphs reused =        763
1.38.586.332 I slot      release: id  3 | task 652 | stop processing: n_tokens = 542, truncated = 0
1.38.594.501 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.381 (> 0.100 thold), f_keep = 0.212
1.38.608.353 I slot launch_slot_: id  3 | task 787 | processing task, is_child = 0
1.46.106.371 I slot print_timing: id  3 | task 787 | prompt eval time =    3577.51 ms /   108 tokens (   33.13 ms per token,    30.19 tokens per second)
1.46.106.385 I slot print_timing: id  3 | task 787 |        eval time =    3920.42 ms /    61 tokens (   65.34 ms per token,    15.30 tokens per second)
1.46.106.386 I slot print_timing: id  3 | task 787 |       total time =    7497.92 ms /   169 tokens
1.46.106.388 I slot print_timing: id  3 | task 787 |    graphs reused =        822
1.46.106.454 I slot      release: id  3 | task 787 | stop processing: n_tokens = 362, truncated = 0
1.46.115.382 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.303 (> 0.100 thold), f_keep = 0.318
1.46.126.914 I slot launch_slot_: id  3 | task 849 | processing task, is_child = 0
1.55.383.388 I slot print_timing: id  3 | task 849 | prompt eval time =    4666.84 ms /   139 tokens (   33.57 ms per token,    29.78 tokens per second)
1.55.383.397 I slot print_timing: id  3 | task 849 |        eval time =    4589.56 ms /    72 tokens (   64.64 ms per token,    15.47 tokens per second)
1.55.383.398 I slot print_timing: id  3 | task 849 |       total time =    9256.41 ms /   211 tokens
1.55.383.400 I slot print_timing: id  3 | task 849 |    graphs reused =        892
1.55.383.476 I slot      release: id  3 | task 849 | stop processing: n_tokens = 450, truncated = 0
1.55.392.173 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.764 (> 0.100 thold), f_keep = 0.533
1.55.392.422 I slot launch_slot_: id  3 | task 922 | processing task, is_child = 0
2.02.141.767 I slot print_timing: id  3 | task 922 | prompt eval time =    2517.90 ms /    74 tokens (   34.03 ms per token,    29.39 tokens per second)
2.02.141.821 I slot print_timing: id  3 | task 922 |        eval time =    4231.37 ms /    67 tokens (   64.11 ms per token,    15.60 tokens per second)
2.02.141.845 I slot print_timing: id  3 | task 922 |       total time =    6749.27 ms /   141 tokens
2.02.141.867 I slot print_timing: id  3 | task 922 |    graphs reused =        957
2.02.141.953 I slot      release: id  3 | task 922 | stop processing: n_tokens = 380, truncated = 0
2.02.150.879 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.584 (> 0.100 thold), f_keep = 0.632
2.02.151.058 I slot launch_slot_: id  3 | task 990 | processing task, is_child = 0
2.13.003.342 I slot print_timing: id  3 | task 990 | prompt eval time =    5692.37 ms /   171 tokens (   33.29 ms per token,    30.04 tokens per second)
2.13.003.395 I slot print_timing: id  3 | task 990 |        eval time =    5159.86 ms /    80 tokens (   65.31 ms per token,    15.31 tokens per second)
2.13.003.417 I slot print_timing: id  3 | task 990 |       total time =   10852.23 ms /   251 tokens
2.13.003.441 I slot print_timing: id  3 | task 990 |    graphs reused =       1035
2.13.004.706 I slot      release: id  3 | task 990 | stop processing: n_tokens = 490, truncated = 0
2.13.012.308 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.386 (> 0.100 thold), f_keep = 0.235
2.13.024.102 I slot launch_slot_: id  3 | task 1071 | processing task, is_child = 0
2.22.829.330 I slot print_timing: id  3 | task 1071 | n_gen =    100, tg =  15.53 t/s, tg_3s =  15.68 t/s
2.25.547.021 I slot print_timing: id  3 | task 1071 | prompt eval time =    3429.57 ms /   104 tokens (   32.98 ms per token,    30.32 tokens per second)
2.25.547.080 I slot print_timing: id  3 | task 1071 |        eval time =    9093.29 ms /   142 tokens (   64.49 ms per token,    15.51 tokens per second)
2.25.547.110 I slot print_timing: id  3 | task 1071 |       total time =   12522.86 ms /   246 tokens
2.25.547.136 I slot print_timing: id  3 | task 1071 |    graphs reused =       1175
2.25.547.231 I slot      release: id  3 | task 1071 | stop processing: n_tokens = 439, truncated = 0
2.25.555.978 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.322 (> 0.100 thold), f_keep = 0.262
2.25.567.024 I slot launch_slot_: id  3 | task 1214 | processing task, is_child = 0
2.32.881.444 I slot print_timing: id  3 | task 1214 | prompt eval time =    3628.57 ms /   112 tokens (   32.40 ms per token,    30.87 tokens per second)
2.32.881.503 I slot print_timing: id  3 | task 1214 |        eval time =    3685.75 ms /    58 tokens (   64.66 ms per token,    15.46 tokens per second)
2.32.881.530 I slot print_timing: id  3 | task 1214 |       total time =    7314.32 ms /   170 tokens
2.32.881.559 I slot print_timing: id  3 | task 1214 |    graphs reused =       1231
2.32.882.862 I slot      release: id  3 | task 1214 | stop processing: n_tokens = 414, truncated = 0
2.32.890.279 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.431 (> 0.100 thold), f_keep = 0.278
2.32.900.668 I slot launch_slot_: id  3 | task 1273 | processing task, is_child = 0
2.40.760.771 I slot print_timing: id  3 | task 1273 | prompt eval time =    2274.81 ms /    68 tokens (   33.45 ms per token,    29.89 tokens per second)
2.40.760.784 I slot print_timing: id  3 | task 1273 |        eval time =    5585.25 ms /    87 tokens (   64.94 ms per token,    15.40 tokens per second)
2.40.760.785 I slot print_timing: id  3 | task 1273 |       total time =    7860.06 ms /   155 tokens
2.40.760.786 I slot print_timing: id  3 | task 1273 |    graphs reused =       1316
2.40.761.131 I slot      release: id  3 | task 1273 | stop processing: n_tokens = 353, truncated = 0
2.40.769.866 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.319 (> 0.100 thold), f_keep = 0.326
2.40.779.789 I slot launch_slot_: id  3 | task 1361 | processing task, is_child = 0
2.48.639.142 I slot print_timing: id  3 | task 1361 | prompt eval time =    3979.03 ms /   120 tokens (   33.16 ms per token,    30.16 tokens per second)
2.48.639.153 I slot print_timing: id  3 | task 1361 |        eval time =    3880.28 ms /    61 tokens (   64.67 ms per token,    15.46 tokens per second)
2.48.639.154 I slot print_timing: id  3 | task 1361 |       total time =    7859.31 ms /   181 tokens
2.48.639.155 I slot print_timing: id  3 | task 1361 |    graphs reused =       1375
2.48.639.228 I slot      release: id  3 | task 1361 | stop processing: n_tokens = 420, truncated = 0
2.48.647.847 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.426 (> 0.100 thold), f_keep = 0.274
2.48.657.927 I slot launch_slot_: id  3 | task 1423 | processing task, is_child = 0
2.57.657.085 I slot print_timing: id  3 | task 1423 | n_gen =    100, tg =  15.43 t/s, tg_3s =  15.59 t/s
3.00.432.379 I slot print_timing: id  3 | task 1423 | prompt eval time =    2583.43 ms /    76 tokens (   33.99 ms per token,    29.42 tokens per second)
3.00.432.394 I slot print_timing: id  3 | task 1423 |        eval time =    9190.97 ms /   142 tokens (   65.18 ms per token,    15.34 tokens per second)
3.00.432.395 I slot print_timing: id  3 | task 1423 |       total time =   11774.39 ms /   218 tokens
3.00.432.396 I slot print_timing: id  3 | task 1423 |    graphs reused =       1515
3.00.432.463 I slot      release: id  3 | task 1423 | stop processing: n_tokens = 411, truncated = 0
3.00.441.552 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.319 (> 0.100 thold), f_keep = 0.280
3.00.452.433 I slot launch_slot_: id  3 | task 1566 | processing task, is_child = 0
3.00.452.482 W slot   operator(): id  3 | task 1566 | need to evaluate at least 1 token for each active slot (n_past = 360, task.n_tokens() = 360)
3.00.452.483 W slot   operator(): id  3 | task 1566 | n_past was set to 359
3.04.414.208 I slot print_timing: id  3 | task 1566 | prompt eval time =      74.58 ms /     1 tokens (   74.58 ms per token,    13.41 tokens per second)
3.04.414.216 I slot print_timing: id  3 | task 1566 |        eval time =    3887.13 ms /    61 tokens (   64.79 ms per token,    15.44 tokens per second)
3.04.414.217 I slot print_timing: id  3 | task 1566 |       total time =    3961.71 ms /    62 tokens
3.04.414.218 I slot print_timing: id  3 | task 1566 |    graphs reused =       1576
3.04.415.470 I slot      release: id  3 | task 1566 | stop processing: n_tokens = 420, truncated = 0
3.04.423.049 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.426 (> 0.100 thold), f_keep = 0.274
3.04.434.523 I slot launch_slot_: id  3 | task 1628 | processing task, is_child = 0
3.04.434.557 W slot   operator(): id  3 | task 1628 | need to evaluate at least 1 token for each active slot (n_past = 270, task.n_tokens() = 270)
3.04.434.557 W slot   operator(): id  3 | task 1628 | n_past was set to 269
3.10.855.039 I slot print_timing: id  3 | task 1628 | n_gen =    100, tg =  15.57 t/s, tg_3s =  15.73 t/s
3.13.567.926 I slot print_timing: id  3 | task 1628 | prompt eval time =      63.79 ms /     1 tokens (   63.79 ms per token,    15.68 tokens per second)
3.13.567.934 I slot print_timing: id  3 | task 1628 |        eval time =    9069.56 ms /   142 tokens (   64.32 ms per token,    15.55 tokens per second)
3.13.567.935 I slot print_timing: id  3 | task 1628 |       total time =    9133.35 ms /   143 tokens
3.13.567.936 I slot print_timing: id  3 | task 1628 |    graphs reused =       1718
3.13.568.004 I slot      release: id  3 | task 1628 | stop processing: n_tokens = 411, truncated = 0
3.13.576.933 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.243 (> 0.100 thold), f_keep = 0.280
3.13.587.731 I slot launch_slot_: id  3 | task 1771 | processing task, is_child = 0
3.27.925.691 I slot print_timing: id  3 | task 1771 | n_gen =    100, tg =  14.89 t/s, tg_3s =  15.04 t/s
3.28.546.613 I slot print_timing: id  3 | task 1771 | prompt eval time =    7689.75 ms /   233 tokens (   33.00 ms per token,    30.30 tokens per second)
3.28.546.623 I slot print_timing: id  3 | task 1771 |        eval time =    7269.04 ms /   109 tokens (   67.31 ms per token,    14.86 tokens per second)
3.28.546.624 I slot print_timing: id  3 | task 1771 |       total time =   14958.79 ms /   342 tokens
3.28.546.625 I slot print_timing: id  3 | task 1771 |    graphs reused =       1824
3.28.547.971 I slot      release: id  3 | task 1771 | stop processing: n_tokens = 581, truncated = 0
3.28.557.095 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.319 (> 0.100 thold), f_keep = 0.198
3.28.570.908 I slot launch_slot_: id  3 | task 1881 | processing task, is_child = 0
3.40.442.423 I slot print_timing: id  3 | task 1881 | n_gen =    100, tg =  15.46 t/s, tg_3s =  15.61 t/s
3.43.454.724 I slot print_timing: id  3 | task 1881 | n_gen =    145, tg =  15.29 t/s, tg_3s =  14.94 t/s
3.46.097.619 I slot print_timing: id  3 | task 1881 | prompt eval time =    5466.25 ms /   166 tokens (   32.93 ms per token,    30.37 tokens per second)
3.46.097.680 I slot print_timing: id  3 | task 1881 |        eval time =   12060.40 ms /   184 tokens (   65.90 ms per token,    15.17 tokens per second)
3.46.097.706 I slot print_timing: id  3 | task 1881 |       total time =   17526.64 ms /   350 tokens
3.46.097.732 I slot print_timing: id  3 | task 1881 |    graphs reused =       2005
3.46.101.314 I slot      release: id  3 | task 1881 | stop processing: n_tokens = 543, truncated = 0
3.46.106.718 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.289 (> 0.100 thold), f_keep = 0.212
3.46.119.925 I slot launch_slot_: id  3 | task 2066 | processing task, is_child = 0
3.57.875.608 I slot print_timing: id  3 | task 2066 | n_gen =    100, tg =  15.31 t/s, tg_3s =  15.47 t/s
4.00.936.608 I slot print_timing: id  3 | task 2066 | n_gen =    145, tg =  15.12 t/s, tg_3s =  14.70 t/s
4.01.835.817 I slot print_timing: id  3 | task 2066 | prompt eval time =    5289.71 ms /   158 tokens (   33.48 ms per token,    29.87 tokens per second)
4.01.835.874 I slot print_timing: id  3 | task 2066 |        eval time =   10426.13 ms /   158 tokens (   66.41 ms per token,    15.06 tokens per second)
4.01.835.902 I slot print_timing: id  3 | task 2066 |       total time =   15715.84 ms /   316 tokens
4.01.835.929 I slot print_timing: id  3 | task 2066 |    graphs reused =       2160
4.01.836.364 I slot      release: id  3 | task 2066 | stop processing: n_tokens = 555, truncated = 0
4.01.844.779 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.851 (> 0.100 thold), f_keep = 0.443
4.01.854.299 I slot launch_slot_: id  3 | task 2225 | processing task, is_child = 0
4.07.639.178 I slot print_timing: id  3 | task 2225 | prompt eval time =    1587.19 ms /    43 tokens (   36.91 ms per token,    27.09 tokens per second)
4.07.639.239 I slot print_timing: id  3 | task 2225 |        eval time =    4197.60 ms /    66 tokens (   64.58 ms per token,    15.49 tokens per second)
4.07.639.281 I slot print_timing: id  3 | task 2225 |       total time =    5784.79 ms /   109 tokens
4.07.639.324 I slot print_timing: id  3 | task 2225 |    graphs reused =       2224
4.07.639.694 I slot      release: id  3 | task 2225 | stop processing: n_tokens = 354, truncated = 0
4.07.648.256 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.638 (> 0.100 thold), f_keep = 0.678
4.07.648.458 I slot launch_slot_: id  3 | task 2292 | processing task, is_child = 0
4.18.038.829 I slot print_timing: id  3 | task 2292 | prompt eval time =    4538.82 ms /   136 tokens (   33.37 ms per token,    29.96 tokens per second)
4.18.038.885 I slot print_timing: id  3 | task 2292 |        eval time =    5851.49 ms /    90 tokens (   65.75 ms per token,    15.21 tokens per second)
4.18.038.909 I slot print_timing: id  3 | task 2292 |       total time =   10390.31 ms /   226 tokens
4.18.038.931 I slot print_timing: id  3 | task 2292 |    graphs reused =       2312
4.18.040.197 I slot      release: id  3 | task 2292 | stop processing: n_tokens = 465, truncated = 0
4.18.047.646 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.408 (> 0.100 thold), f_keep = 0.247
4.18.060.097 I slot launch_slot_: id  3 | task 2383 | processing task, is_child = 0
4.26.641.919 I slot print_timing: id  3 | task 2383 | prompt eval time =    2934.20 ms /    88 tokens (   33.34 ms per token,    29.99 tokens per second)
4.26.641.975 I slot print_timing: id  3 | task 2383 |        eval time =    5647.53 ms /    88 tokens (   64.91 ms per token,    15.40 tokens per second)
4.26.641.999 I slot print_timing: id  3 | task 2383 |       total time =    8581.73 ms /   176 tokens
4.26.642.021 I slot print_timing: id  3 | task 2383 |    graphs reused =       2398
4.26.642.416 I slot      release: id  3 | task 2383 | stop processing: n_tokens = 369, truncated = 0
4.26.651.979 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.354 (> 0.100 thold), f_keep = 0.312
4.26.662.482 I slot launch_slot_: id  3 | task 2472 | processing task, is_child = 0
4.35.988.073 I slot print_timing: id  3 | task 2472 | n_gen =    100, tg =  15.31 t/s, tg_3s =  15.46 t/s
4.37.220.248 I slot print_timing: id  3 | task 2472 | prompt eval time =    2857.39 ms /    85 tokens (   33.62 ms per token,    29.75 tokens per second)
4.37.220.327 I slot print_timing: id  3 | task 2472 |        eval time =    7700.29 ms /   119 tokens (   65.26 ms per token,    15.32 tokens per second)
4.37.220.354 I slot print_timing: id  3 | task 2472 |       total time =   10557.68 ms /   204 tokens
4.37.220.380 I slot print_timing: id  3 | task 2472 |    graphs reused =       2515
4.37.220.467 I slot      release: id  3 | task 2472 | stop processing: n_tokens = 443, truncated = 0
4.37.229.272 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.771 (> 0.100 thold), f_keep = 0.546
4.37.229.500 I slot launch_slot_: id  3 | task 2592 | processing task, is_child = 0
4.43.868.433 I slot print_timing: id  3 | task 2592 | prompt eval time =    2430.44 ms /    72 tokens (   33.76 ms per token,    29.62 tokens per second)
4.43.868.491 I slot print_timing: id  3 | task 2592 |        eval time =    4208.43 ms /    65 tokens (   65.76 ms per token,    15.21 tokens per second)
4.43.868.521 I slot print_timing: id  3 | task 2592 |       total time =    6638.87 ms /   137 tokens
4.43.868.547 I slot print_timing: id  3 | task 2592 |    graphs reused =       2578
4.43.872.314 I slot      release: id  3 | task 2592 | stop processing: n_tokens = 378, truncated = 0
4.43.877.764 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.578 (> 0.100 thold), f_keep = 0.635
4.43.877.955 I slot launch_slot_: id  3 | task 2658 | processing task, is_child = 0
4.55.591.549 I slot print_timing: id  3 | task 2658 | prompt eval time =    5846.95 ms /   175 tokens (   33.41 ms per token,    29.93 tokens per second)
4.55.591.611 I slot print_timing: id  3 | task 2658 |        eval time =    5866.58 ms /    91 tokens (   65.18 ms per token,    15.34 tokens per second)
4.55.591.657 I slot print_timing: id  3 | task 2658 |       total time =   11713.53 ms /   266 tokens
4.55.591.679 I slot print_timing: id  3 | task 2658 |    graphs reused =       2667
4.55.592.066 I slot      release: id  3 | task 2658 | stop processing: n_tokens = 505, truncated = 0
4.55.600.613 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.358 (> 0.100 thold), f_keep = 0.228
4.55.611.831 I slot launch_slot_: id  3 | task 2750 | processing task, is_child = 0
5.06.231.222 I slot print_timing: id  3 | task 2750 | prompt eval time =    4256.20 ms /   127 tokens (   33.51 ms per token,    29.84 tokens per second)
5.06.231.285 I slot print_timing: id  3 | task 2750 |        eval time =    6363.10 ms /    99 tokens (   64.93 ms per token,    15.40 tokens per second)
5.06.231.334 I slot print_timing: id  3 | task 2750 |       total time =   10619.30 ms /   226 tokens
5.06.231.360 I slot print_timing: id  3 | task 2750 |    graphs reused =       2764
5.06.235.325 I slot      release: id  3 | task 2750 | stop processing: n_tokens = 419, truncated = 0
5.06.240.544 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.246 (> 0.100 thold), f_keep = 0.274
5.06.252.699 I slot launch_slot_: id  3 | task 2850 | processing task, is_child = 0
5.17.598.216 I slot print_timing: id  3 | task 2850 | prompt eval time =    7430.89 ms /   227 tokens (   32.74 ms per token,    30.55 tokens per second)
5.17.598.228 I slot print_timing: id  3 | task 2850 |        eval time =    3914.58 ms /    60 tokens (   66.35 ms per token,    15.07 tokens per second)
5.17.598.229 I slot print_timing: id  3 | task 2850 |       total time =   11345.47 ms /   287 tokens
5.17.598.230 I slot print_timing: id  3 | task 2850 |    graphs reused =       2821
5.17.598.333 I slot      release: id  3 | task 2850 | stop processing: n_tokens = 526, truncated = 0
5.17.607.309 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.312 (> 0.100 thold), f_keep = 0.219
5.17.620.105 I slot launch_slot_: id  3 | task 2911 | processing task, is_child = 0
5.28.397.576 I slot print_timing: id  3 | task 2911 | prompt eval time =    5844.32 ms /   175 tokens (   33.40 ms per token,    29.94 tokens per second)
5.28.397.586 I slot print_timing: id  3 | task 2911 |        eval time =    4933.10 ms /    77 tokens (   64.91 ms per token,    15.41 tokens per second)
5.28.397.587 I slot print_timing: id  3 | task 2911 |       total time =   10777.42 ms /   252 tokens
5.28.397.588 I slot print_timing: id  3 | task 2911 |    graphs reused =       2896
5.28.397.665 I slot      release: id  3 | task 2911 | stop processing: n_tokens = 445, truncated = 0
5.28.406.521 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.299 (> 0.100 thold), f_keep = 0.258
5.28.418.375 I slot launch_slot_: id  3 | task 2989 | processing task, is_child = 0
5.39.651.374 I slot print_timing: id  3 | task 2989 | n_gen =    100, tg =  15.39 t/s, tg_3s =  15.54 t/s
5.40.690.567 I slot print_timing: id  3 | task 2989 | prompt eval time =    4799.39 ms /   145 tokens (   33.10 ms per token,    30.21 tokens per second)
5.40.690.580 I slot print_timing: id  3 | task 2989 |        eval time =    7472.76 ms /   116 tokens (   64.98 ms per token,    15.39 tokens per second)
